CO2_loading,MEA_mol,Temp,log_x_H2O,log_x_CO2,log_x_MEA,log_x_OH-,log_x_HCO3-,log_x_CO32-,log_x_MEACOO-,log_x_H3O+,log_x_MEAH+,x_H2O,x_CO2,x_MEA,x_OH-,x_HCO3-,x_CO32-,x_MEACOO-,x_H3O+,x_MEAH+,gamma_H2O,gamma_CO2,gamma_MEA,gamma_OH-,gamma_HCO3-,gamma_CO32-,gamma_MEACOO-,gamma_H3O+,gamma_MEAH+,G_ex,Henry_mix_CO2,fugacity_pure_solvent_H2O,fugacity_pure_solvent_MEA,log_gamma_mix_CO2,liq_enthalpy
0.001,0.001,293.15,-0.001522864,-21.27956275,-7.64791539,-7.55914759,-14.85170669,-17.35709355,-14.30057341,-24.78406182,-7.557176888,0.998478295,5.73E-10,0.000477038,0.000521319,3.55E-07,2.90E-08,6.16E-07,1.72E-11,0.000522348,2.64E-05,0.042277258,-1.32171685,-0.112292089,-0.164119088,-0.628538267,-0.174582273,-0.165908796,-0.132316094,-0.012266439,375.1137496,0.023394995,0.00034299,0.037248293,-286328.0256
0.001,0.001,297.3605263,-0.001540581,-20.94978218,-7.685556722,-7.5258369,-14.7577698,-17.45639283,-14.35468731,-24.48223354,-7.523936198,0.998460605,7.97E-10,0.000459415,0.000538977,3.90E-07,2.62E-08,5.83E-07,2.33E-11,0.000540003,2.79E-05,0.043070799,-1.257534544,-0.115230676,-0.166492515,-0.641748032,-0.177945261,-0.169194137,-0.134160853,-0.012339663,421.7734145,0.030239075,0.000498365,0.038601983,-286007.5225
0.001,0.001,301.5710526,-0.001557002,-20.62861323,-7.721741142,-7.495930434,-14.67118872,-17.56291831,-14.41275126,-24.19084345,-7.494091003,0.99844421,1.10E-09,0.000443088,0.00055534,4.25E-07,2.36E-08,5.50E-07,3.12E-11,0.000556362,2.94E-05,0.04372221,-1.196162047,-0.118077616,-0.168882235,-0.654440727,-0.181180288,-0.17235715,-0.135962165,-0.012393806,473.1663371,0.038765978,0.000714541,0.039795508,-285686.5882
0.001,0.001,305.7815789,-0.001572147,-20.31607669,-7.756304095,-7.46912274,-14.59184677,-17.6763198,-14.47452908,-23.90953769,-7.467337068,0.998429088,1.50E-09,0.000428036,0.000570428,4.60E-07,2.11E-08,5.17E-07,4.13E-11,0.000571448,3.09E-05,0.04425085,-1.137463687,-0.120855807,-0.171278804,-0.666686646,-0.184299694,-0.175410085,-0.137725976,-0.012429831,529.7760437,0.049308997,0.001011562,0.04085278,-285365.1093
0.001,0.001,309.9921053,-0.00158605,-20.01209261,-7.789106585,-7.445135512,-14.51954219,-17.79619092,-14.5397266,-23.63797503,-7.443397124,0.998415207,2.04E-09,0.000414223,0.000584277,4.95E-07,1.87E-08,4.85E-07,5.42E-11,0.000585294,3.23E-05,0.04467199,-1.081311384,-0.123584437,-0.173677205,-0.678549115,-0.18731536,-0.178364687,-0.139457887,-0.012448835,592.1239773,0.062250436,0.00141482,0.041792891,-285042.9795
0.001,0.001,314.2026316,-0.001598752,-19.71649718,-7.820034472,-7.423716086,-14.45400511,-17.92208326,-14.60800676,-23.37582545,-7.422019399,0.998402525,2.74E-09,0.000401608,0.000596927,5.28E-07,1.65E-08,4.53E-07,7.05E-11,0.00059794,3.36E-05,0.044997845,-1.027584155,-0.126279591,-0.176075438,-0.690085157,-0.190238581,-0.181232074,-0.141163129,-0.012451986,660.7719867,0.078025887,0.001956122,0.042631268,-284720.0984
0.001,0.001,318.4131579,-0.001610301,-19.42906182,-7.848997322,-7.404635834,-14.39491606,-18.05352279,-14.67900646,-23.12276908,-7.402976043,0.998390995,3.65E-09,0.000390143,0.000608426,5.60E-07,1.44E-08,4.22E-07,9.08E-11,0.000609436,3.50E-05,0.045238314,-0.976167675,-0.128954754,-0.178473541,-0.70134605,-0.193079968,-0.184022659,-0.14284654,-0.012440489,736.3252356,0.097128499,0.002674885,0.043380508,-284396.3711
0.001,0.001,322.6236842,-0.001620747,-19.14951301,-7.875926935,-7.387688506,-14.34192518,-18.19002678,-14.75235376,-22.87849542,-7.386061494,0.998380566,4.82E-09,0.000379777,0.000618825,5.91E-07,1.26E-08,3.92E-07,1.16E-10,0.000619832,3.62E-05,0.045401506,-0.92695386,-0.131621218,-0.180872893,-0.712377805,-0.195849398,-0.186746101,-0.144512564,-0.012415545,819.4354935,0.120113163,0.003619469,0.04405098,-284071.707
0.001,0.001,326.8342105,-0.001630143,-18.8775516,-7.900775652,-7.372688547,-14.2946706,-18.33112038,-14.82768439,-22.64270279,-7.371090819,0.998371185,6.33E-09,0.000370456,0.000628177,6.19E-07,1.09E-08,3.63E-07,1.47E-10,0.000629181,3.75E-05,0.045494114,-0.879840493,-0.134288416,-0.183275734,-0.7232216,-0.198555974,-0.189411277,-0.146165246,-0.012378325,910.8047945,0.147600577,0.004848631,0.044651276,-283746.0194
0.001,0.001,331.0447368,-0.001638542,-18.61287086,-7.923514542,-7.359469443,-14.25279556,-18.47635175,-14.90465686,-22.41509797,-7.357898067,0.998362799,8.25E-09,0.000362127,0.000636536,6.46E-07,9.46E-09,3.37E-07,1.84E-10,0.000637537,3.87E-05,0.045521694,-0.834730865,-0.136964197,-0.185684823,-0.733914161,-0.201208024,-0.192026284,-0.147808247,-0.012329954,1011.189466,0.180281133,0.006433112,0.045188536,-283419.2251
0.001,0.001,335.2552632,-0.001645999,-18.35517255,-7.944131537,-7.347882093,-14.21596335,-18.62530538,-14.98296547,-22.19539596,-7.346334666,0.998355355,1.07E-08,0.000354738,0.000643955,6.70E-07,8.15E-09,3.11E-07,2.29E-10,0.000644952,3.99E-05,0.045488866,-0.791533453,-0.139655051,-0.18810321,-0.744488122,-0.203813104,-0.194598449,-0.149444852,-0.012271497,1121.40454,0.218918576,0.008457324,0.045668701,-283091.2435
0.001,0.001,339.4657895,-0.001652563,-18.10418081,-7.962629581,-7.337793264,-14.18387022,-18.77761331,-15.06235137,-21.98331979,-7.336267885,0.998348802,1.37E-08,0.000348236,0.000650484,6.92E-07,7.00E-09,2.87E-07,2.84E-10,0.000651477,4.10E-05,0.045399464,-0.750161607,-0.142366303,-0.190534064,-0.754972355,-0.206378016,-0.197134357,-0.151077988,-0.012203945,1242.328578,0.264353381,0.011021163,0.046096704,-282761.9966
0.001,0.001,343.6763158,-0.001658285,-17.85965396,-7.979024833,-7.329084115,-14.15625606,-18.93296434,-15.14261137,-21.77860045,-7.327579368,0.99834309,1.75E-08,0.000342573,0.000656174,7.11E-07,5.99E-09,2.65E-07,3.48E-10,0.000657162,4.21E-05,0.045256657,-0.710533263,-0.145102268,-0.192980571,-0.765392269,-0.208908846,-0.199639874,-0.152710242,-0.012128221,1374.908923,0.317505805,0.014241899,0.046476619,-282431.4081
0.001,0.001,347.8868421,-0.00166321,-17.62139417,-7.993344958,-7.321648818,-14.1329131,-19.09111131,-15.223605,-21.58097678,-7.32016377,0.998338172,2.22E-08,0.000337703,0.000661071,7.28E-07,5.11E-09,2.45E-07,4.24E-10,0.000662054,4.32E-05,0.045063039,-0.672570678,-0.147866382,-0.195445859,-0.775770095,-0.211410989,-0.202120194,-0.154343878,-0.012045167,1520.167432,0.379378563,0.018256149,0.046811783,-282099.4033
0.001,0.001,352.0973684,-0.001667385,-17.38925549,-8.005627528,-7.315393277,-14.11369294,-19.25187686,-15.30525996,-21.39019543,-7.313927479,0.998334004,2.81E-08,0.00033358,0.00066522,7.42E-07,4.36E-09,2.25E-07,5.13E-10,0.000666195,4.42E-05,0.044820703,-0.636200169,-0.150661312,-0.197932945,-0.786125139,-0.213889194,-0.204579873,-0.155980855,-0.011955553,1679.206712,0.451059092,0.023221911,0.047104893,-281765.9088
0.001,0.001,356.3078947,-0.00167085,-17.16315023,-8.015918548,-7.310233944,-14.09851203,-19.41515774,-15.38757613,-21.20601079,-7.308787446,0.998330545,3.52E-08,0.000330165,0.000668661,7.54E-07,3.70E-09,2.08E-07,6.17E-10,0.000669629,4.53E-05,0.044531304,-0.601351883,-0.15348905,-0.200444712,-0.796474024,-0.216347601,-0.207022871,-0.15762285,-0.011860077,1853.216904,0.533721356,0.029320629,0.047358087,-281430.8519
