Feature,Total_Effect (ST),First_Order (S1)
x26,0.1210391586323647,0.11244681123552291
x23,0.10448414789206667,0.10431438460927961
x7,0.10307805230626317,0.09862814367323881
x21,0.09958463191496766,0.09802327849276436
x17,0.07997011353132233,0.08047317320322551
x1,0.07376914999083993,0.07401257870583587
x20,0.05841555429223254,0.05566050935969496
x16,0.05736017138323506,0.05838108985375026
x5,0.05132345833026654,0.051223769681752025
x9,0.05054093140173408,0.05015496500860079
x25,0.03270053564404266,0.03008814539204603
x15,0.027002956193909293,0.028194850156882247
x0,0.023670627126509913,0.022253408914737535
x6,0.02260586545757562,0.02300602912368384
x8,0.019445586830649172,0.01894489012317747
x24,0.014984921644375862,0.013979415742350811
x29,0.014039296200231815,0.012805375744926899
x22,0.01124692843180407,0.009148588244700624
x11,0.011145363293129276,0.01049268424516853
x10,0.007090452505569405,0.0058162985700955785
x14,0.006970324135273037,0.005152966605369179
x4,0.005673246586928988,0.004494824405492669
x19,0.0041154639900291305,0.0024452905057794536
x13,0.0039700463380192294,0.0019528080477896868
x28,0.0026829836399325127,0.0030848537049733326
x18,0.0018583311095307547,-0.00026663681967135266
x3,0.0015596118665953751,0.001235973336184709
x27,0.0008893669273523591,0.0004276437885625602
x12,0.0006939939872435755,0.0005221796172786405
x2,0.0004770769143804329,-0.0016091683265183384
