Feature,Mean_Abs_SHAP
x23,0.5337249133883565
x26,0.5269131643533436
x21,0.5213197789291183
x7,0.5164035075145014
x17,0.4250019790550459
x1,0.4229944329542916
x16,0.38016912569848405
x20,0.3663381597587642
x9,0.3074041822090794
x5,0.2927175814213563
x25,0.23009945241169752
x15,0.19335853398610608
x0,0.1837731503150464
x6,0.15503777886681122
x8,0.12434840006280401
x24,0.08668372264299745
x11,0.056999568859637875
x22,0.05408948402824718
x10,0.03747109393857327
x29,0.036854078649693825
x4,0.009117906907641271
x14,0.006897317060190414
x19,0.003710472509762711
x18,0.0
x12,0.0
x3,0.0
x2,0.0
x27,0.0
x28,0.0
x13,0.0
