Feature,Total_Effect (ST),First_Order (S1)
x26,0.11991740158341103,0.12082335027707274
x21,0.1141848219426674,0.11492321886272905
x7,0.10934097694860888,0.114193685565072
x23,0.10450443754743782,0.1042925669180448
x17,0.08696971922044172,0.08273177096500567
x1,0.0793726924718012,0.08121348827858865
x16,0.06203193314947973,0.06130503862606909
x20,0.05816827533708701,0.056411452008022486
x5,0.04715544581530946,0.046352108956080176
x9,0.04681302056926646,0.04795295311223381
x25,0.03068916486466279,0.03125261737063937
x15,0.024763581572385503,0.025029760031722515
x0,0.021269960951589444,0.016948609798339422
x6,0.020469511170000378,0.02204128457518889
x8,0.015947514524487325,0.016151480193768174
x24,0.012018928072680074,0.012687330227559591
x11,0.010386140462865828,0.00894796357945113
x22,0.009992669959131487,0.010438252261721707
x29,0.008140722562148197,0.008936900897674727
x10,0.006528209063735029,0.006937338476372057
x4,0.0044037394412495745,0.0044513557281077925
x14,0.0038758077279106096,0.003077044964123821
x19,0.0034292478987007348,0.003060964761547483
x28,0.0012184903042995294,0.001074322815877371
x13,0.0010138766851106053,0.0009636490955618902
x18,0.000928463905834264,0.0014591213678617555
x3,0.0006651257762695721,0.0006087331321010609
x2,0.0003990521006332359,0.0004688835226515433
x27,0.00021295134960962374,0.00021027729083831885
x12,0.00017997393696975885,0.0005428359671335486
