,Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,CO2 Uptake [g/g]
0,3247.67,0.759906,8.63647,14.99836,0.596568,2133.2,898.4962158203125
1,1216.27,0.455216,6.42473,8.69704,1.24311,279.924,242.0955352783203
2,1159.51,0.412831,8.60619,8.80218,1.08576,536.493,250.16445922851562
3,460.682,0.267865,5.37127,5.95497,1.59015,48.7912,100.52161407470703
4,4487.68,0.782606,7.68602,9.42926,0.564412,1553.01,975.2232666015625
5,3276.43,0.765398,5.14858,9.98441,0.745628,1478.44,761.1636962890625
6,639.479,0.286471,4.54244,6.04581,1.37677,91.8256,113.62020111083984
7,1857.27,0.525051,4.55803,5.74176,1.09555,85.6296,349.100830078125
8,200.021,0.17239,3.77791,4.10979,2.14595,14.3505,62.846317291259766
9,1221.66,0.549134,4.31069,5.52593,1.25252,150.082,275.7856140136719
10,2081.71,0.518445,5.46555,6.11996,0.806879,296.984,432.4963073730469
11,4954.62,0.820375,9.13864,10.25326,0.462919,2553.73,1233.747802734375
12,1454.89,0.536841,5.67776,6.69227,1.33247,125.254,272.67889404296875
13,652.986,0.275323,3.66087,5.00042,1.29956,45.7894,144.96458435058594
14,5253.6,0.835703,10.18807,15.28634,0.379341,3118.63,1521.618408203125
15,1939.96,0.564731,7.46344,9.29123,0.798505,696.326,509.6637878417969
16,3438.09,0.784474,8.5345,16.23244,0.615628,4842.76,920.6116333007812
17,2620.24,0.676122,8.9453,9.17433,0.773465,527.879,642.4567260742188
18,4727.15,0.787416,8.70608,13.69434,0.426753,2703.36,1254.281494140625
19,1059.27,0.3293,7.2375,7.6109,1.06551,84.3891,206.38368225097656
20,2563.12,0.662775,5.30255,7.16967,0.7894,685.522,575.537109375
21,842.275,0.339579,6.41644,7.32309,1.39079,121.873,203.6280517578125
22,662.048,0.249821,5.67629,7.40167,1.22102,270.296,155.19532775878906
23,1666.66,0.498092,7.17405,7.57502,0.899225,204.328,347.7199401855469
24,2274.43,0.610465,6.1789,7.51783,0.856536,921.621,511.9167175292969
25,224.679,0.138683,3.97018,4.65096,1.48585,16.686,55.43301010131836
26,1353.19,0.48123,9.10484,9.55225,0.94268,167.544,356.51910400390625
27,296.954,0.196004,3.69344,4.40645,2.14875,9.20605,69.03895568847656
28,719.319,0.292887,3.81609,5.23818,1.32525,47.0815,184.2487335205078
29,3399.61,0.65701,6.55386,8.12338,0.657562,701.935,668.2294921875
30,4332.57,0.830944,8.96189,11.88119,0.480964,1931.43,1230.9404296875
31,4574.15,0.847695,10.95663,15.44361,0.353837,5227.52,1557.3939208984375
32,1146.4,0.627848,3.38199,9.2995,0.910036,454.259,487.16412353515625
33,2395.41,0.65804,8.09366,9.51153,0.730207,1423.46,637.9401245117188
34,2758.88,0.761193,13.51556,13.78673,0.584356,765.947,927.0630493164062
35,832.912,0.422194,6.27344,7.08636,1.4046,103.381,207.22613525390625
36,2350.41,0.568904,4.81318,9.8787,0.861126,1640.44,452.5867614746094
37,563.082,0.270221,3.96623,5.43833,1.74541,82.3953,106.6623306274414
38,3950.84,0.780574,7.19935,14.50041,0.534302,2869.22,1032.649169921875
39,3279.35,0.760824,12.21529,12.40146,0.563971,698.028,990.917724609375
40,1261.62,0.486148,5.9997,6.8747,1.10164,107.852,324.83892822265625
41,1065.03,0.522049,4.29624,5.02664,1.22735,30.4158,282.378173828125
42,846.674,0.474204,3.4159,6.71853,1.33856,53.3373,237.7345428466797
43,1103.76,0.492853,3.72103,7.3058,1.27848,174.427,253.1913604736328
44,468.113,0.253205,4.48133,5.01974,1.61666,28.1149,93.4800033569336
45,5097.98,0.824427,9.83236,13.21542,0.359306,3515.45,1499.2911376953125
46,4422.03,0.76575,8.6907,13.89179,0.468591,2631.43,1107.4080810546875
47,2925.03,0.713108,7.50441,11.90696,0.768092,1442.54,664.280029296875
48,2181.63,0.618318,4.97692,7.78903,0.998405,796.414,427.9183349609375
49,2710.2,0.671814,8.6958,10.22544,0.853031,1679.98,535.2245483398438
50,1011.52,0.518451,5.29594,6.41193,1.53417,374.727,241.68975830078125
