,Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,H_ads [kJ/mol]
0,3247.67,0.759906,8.63647,14.99836,0.596568,2133.2,-2651.17822265625
1,1216.27,0.455216,6.42473,8.69704,1.24311,279.924,-3003.49267578125
2,1159.51,0.412831,8.60619,8.80218,1.08576,536.493,-2777.9990234375
3,460.682,0.267865,5.37127,5.95497,1.59015,48.7912,-3137.602294921875
4,4487.68,0.782606,7.68602,9.42926,0.564412,1553.01,-2837.54638671875
5,3276.43,0.765398,5.14858,9.98441,0.745628,1478.44,-3032.671142578125
6,639.479,0.286471,4.54244,6.04581,1.37677,91.8256,-3113.292236328125
7,1857.27,0.525051,4.55803,5.74176,1.09555,85.6296,-3190.69287109375
8,200.021,0.17239,3.77791,4.10979,2.14595,14.3505,-3426.43359375
9,1221.66,0.549134,4.31069,5.52593,1.25252,150.082,-3719.102294921875
10,2081.71,0.518445,5.46555,6.11996,0.806879,296.984,-3159.367431640625
11,4954.62,0.820375,9.13864,10.25326,0.462919,2553.73,-2656.5947265625
12,1454.89,0.536841,5.67776,6.69227,1.33247,125.254,-2991.369873046875
13,652.986,0.275323,3.66087,5.00042,1.29956,45.7894,-3656.281982421875
14,5253.6,0.835703,10.18807,15.28634,0.379341,3118.63,-2510.3212890625
15,1939.96,0.564731,7.46344,9.29123,0.798505,696.326,-3181.306396484375
16,3438.09,0.784474,8.5345,16.23244,0.615628,4842.76,-2667.974609375
17,2620.24,0.676122,8.9453,9.17433,0.773465,527.879,-3053.923828125
18,4727.15,0.787416,8.70608,13.69434,0.426753,2703.36,-2505.150390625
19,1059.27,0.3293,7.2375,7.6109,1.06551,84.3891,-3164.3984375
20,2563.12,0.662775,5.30255,7.16967,0.7894,685.522,-3435.346923828125
21,842.275,0.339579,6.41644,7.32309,1.39079,121.873,-3140.079345703125
22,662.048,0.249821,5.67629,7.40167,1.22102,270.296,-3319.705078125
23,1666.66,0.498092,7.17405,7.57502,0.899225,204.328,-3058.364501953125
24,2274.43,0.610465,6.1789,7.51783,0.856536,921.621,-3266.581787109375
25,224.679,0.138683,3.97018,4.65096,1.48585,16.686,-3284.538330078125
26,1353.19,0.48123,9.10484,9.55225,0.94268,167.544,-3249.955810546875
27,296.954,0.196004,3.69344,4.40645,2.14875,9.20605,-3499.30615234375
28,719.319,0.292887,3.81609,5.23818,1.32525,47.0815,-3887.320556640625
29,3399.61,0.65701,6.55386,8.12338,0.657562,701.935,-2870.68115234375
30,4332.57,0.830944,8.96189,11.88119,0.480964,1931.43,-2661.578857421875
31,4574.15,0.847695,10.95663,15.44361,0.353837,5227.52,-2230.260498046875
32,1146.4,0.627848,3.38199,9.2995,0.910036,454.259,-3614.532958984375
33,2395.41,0.65804,8.09366,9.51153,0.730207,1423.46,-3157.359375
34,2758.88,0.761193,13.51556,13.78673,0.584356,765.947,-2814.91015625
35,832.912,0.422194,6.27344,7.08636,1.4046,103.381,-3322.960693359375
36,2350.41,0.568904,4.81318,9.8787,0.861126,1640.44,-3221.434814453125
37,563.082,0.270221,3.96623,5.43833,1.74541,82.3953,-3187.15234375
38,3950.84,0.780574,7.19935,14.50041,0.534302,2869.22,-2622.615234375
39,3279.35,0.760824,12.21529,12.40146,0.563971,698.028,-2937.282958984375
40,1261.62,0.486148,5.9997,6.8747,1.10164,107.852,-3712.315673828125
41,1065.03,0.522049,4.29624,5.02664,1.22735,30.4158,-4071.940185546875
42,846.674,0.474204,3.4159,6.71853,1.33856,53.3373,-3757.120361328125
43,1103.76,0.492853,3.72103,7.3058,1.27848,174.427,-2968.81591796875
44,468.113,0.253205,4.48133,5.01974,1.61666,28.1149,-3261.044921875
45,5097.98,0.824427,9.83236,13.21542,0.359306,3515.45,-2297.18359375
46,4422.03,0.76575,8.6907,13.89179,0.468591,2631.43,-2569.59326171875
47,2925.03,0.713108,7.50441,11.90696,0.768092,1442.54,-2794.21142578125
48,2181.63,0.618318,4.97692,7.78903,0.998405,796.414,-3203.0322265625
49,2710.2,0.671814,8.6958,10.22544,0.853031,1679.98,-2542.160888671875
50,1011.52,0.518451,5.29594,6.41193,1.53417,374.727,-3543.641845703125
51,361.852,0.198524,3.34085,4.38027,1.21763,13.9873,-3543.157958984375
52,771.848,0.337053,4.16009,4.98124,1.40222,60.7624,-3237.8681640625
53,701.256,0.325441,4.1971,6.00996,1.51886,76.6259,-3447.135498046875
54,731.172,0.369008,5.18935,6.70833,1.34719,238.202,-2850.74365234375
55,5201.5,0.732434,7.28004,9.90876,0.478056,2063.23,-2533.106689453125
56,955.021,0.325109,3.69596,4.96763,1.03944,88.4628,-3141.036376953125
57,2118.57,0.708652,23.06154,23.37898,0.532871,1430.27,-2091.10400390625
58,4059.59,0.723615,5.93588,7.7495,0.615626,934.151,-3397.277099609375
59,848.959,0.384324,3.97812,5.63611,1.15884,36.6339,-3215.973388671875
60,4241.76,0.835701,9.05534,16.19555,0.4334,3468.51,-2309.888916015625
61,4964.09,0.867727,11.48138,18.87171,0.353115,6692.83,-2252.298828125
62,2782.81,0.632409,4.85371,6.80037,0.810333,596.188,-3294.117431640625
63,523.936,0.282599,3.33456,4.70048,1.38344,39.5347,-2880.95458984375
64,4202.81,0.728724,7.77732,9.16905,0.568074,552.528,-2709.81982421875
65,3059.91,0.718266,7.74543,8.99236,0.742029,975.395,-3140.777587890625
66,3261.66,0.691719,6.24907,6.95657,0.776881,440.526,-3477.447021484375
67,5415.11,0.856949,12.40361,16.16395,0.306213,5165.44,-2087.634521484375
68,1421.76,0.556828,5.23546,7.06434,1.01132,169.404,-3620.20654296875
69,1106.95,0.548329,5.16415,8.39743,1.69629,1173.59,-2831.842041015625
70,623.405,0.298711,6.03566,6.40707,1.26464,109.937,-3640.033935546875
71,5153.55,0.860766,10.62307,14.33658,0.339994,2344.34,-2338.7275390625
72,518.121,0.264625,3.99641,4.68884,1.28491,20.0045,-3589.73046875
73,2336.45,0.53932,4.47069,5.98075,0.904617,206.774,-3070.9248046875
74,279.071,0.28578,3.38677,4.03941,1.4788,4.87885,-3821.748779296875
75,2180.49,0.681437,10.44088,11.84137,0.777818,478.619,-3009.029296875
76,540.719,0.277301,3.92289,4.75672,1.28498,17.6865,-3696.685791015625
77,517.752,0.298623,3.6625,4.06681,1.46423,14.578,-3445.529052734375
78,5908.23,0.82718,9.04749,13.79209,0.373492,1941.31,-2483.617919921875
79,879.412,0.473132,9.38996,9.67881,1.3361,399.713,-3107.551025390625
80,1805.61,0.65481,7.12762,7.85627,0.932587,216.832,-3523.5908203125
81,2906.33,0.774967,14.317,14.60431,0.558988,838.778,-2806.621826171875
82,2808.39,0.674207,5.88637,8.02115,0.903407,637.968,-2897.611328125
83,1491.52,0.496385,4.29882,6.1464,1.1959,234.83,-3363.35791015625
84,2720.43,0.742715,6.59478,15.01757,0.726002,3620.72,-2755.8876953125
85,5191.91,0.85628,14.23238,17.69651,0.325148,5341.89,-2309.59130859375
86,2222.01,0.631424,4.33966,8.77129,0.917965,505.078,-3679.174072265625
87,4694.7,0.881507,10.86081,13.88082,0.380968,4953.8,-2346.095458984375
88,3883.57,0.708229,11.72724,12.95546,0.508256,1145.14,-2483.066162109375
89,4486.51,0.793665,9.32835,14.73782,0.46575,2500.49,-2424.953369140625
90,1342.78,0.588491,6.11891,6.29797,1.15987,81.5649,-3344.757568359375
91,953.58,0.429296,3.71043,5.41098,1.17904,33.2002,-3362.75537109375
92,5212.1,0.884269,12.51312,16.38006,0.310085,3274.89,-2109.244140625
93,279.559,0.171054,3.44292,4.65433,1.41079,9.89499,-3937.798583984375
94,2050.89,0.586607,6.47866,7.0501,0.807828,254.129,-3499.3759765625
95,4494.53,0.84056,9.91218,14.58177,0.416311,1961.79,-2479.657470703125
96,6214.91,0.876889,11.16171,15.33368,0.300723,2105.79,-2331.7919921875
