Pd_C103,Pd_C301,HX100,T_E110,L_R100,D_R100,F_S220,T_E120,P_V100,Pd_P150,HX150,HX220,T_E220,Rr_D200,Pc_D200,F_S220,CO2_emission
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
68.75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.004907409
62.5,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.003348059
56.25,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.001191273
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
70.139,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005084422
65.278,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.003247757
60.417,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.002618519
55.556,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.000651947
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
71.52775,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005257905
68.0555,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00481929
64.58325,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.004017964
61.111,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.002788091
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
72.91675,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005428035
70.8335,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005174042
68.75025,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.004910836
66.667,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.004633576
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
