x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,minimum_selling_price
75.0,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485,0.5594024278755323
68.75,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485,0.5589115773843325
62.5,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485,0.5576267359445639
56.25,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485,0.555927410050034
75.0,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485,0.5594024278755323
70.139,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485,0.5589952013971903
65.27799999999999,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485,0.5571333150120472
60.417,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485,0.5566192465954106
55.556,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485,0.5553838041146174
75.0,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485,0.5594024278755323
71.52775,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485,0.5591033387893094
68.0555,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485,0.5588598585656923
64.58324999999999,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485,0.5582203073612017
61.111,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485,0.5570905754578788
75.0,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485,0.5594024278755323
72.91675000000001,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485,0.5592146169319593
70.8335,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485,0.5590465741549165
68.75025,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485,0.5589081903357145
66.667,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485,0.5587683255756825
75.0,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485,0.5594024278755323
74.3055,75.0,210.0,210.0,5.0,1.6,0.6,35.0,1.0,1.3,83.0,208.0,280.0,1.2,1.0,0.485,0.5593298397389647
