k,stage,i,step,flag,x,minimum_selling_price,CO2_emission
0,line_search,0,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293
0,line_search,0,1,success,"[ 68.75   75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5589115773843325,-0.004907409163579357
0,line_search,0,2,success,"[ 62.5    75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5576267359445639,-0.003348059415704024
0,line_search,0,3,success,"[ 56.25   75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.555927410050034,-0.0011912729254891102
0,line_search,0,4,not_converged,"[ 50.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",,
0,line_search,1,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293
0,line_search,1,1,success,"[ 70.139  75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5589952013971903,-0.005084421679579152
0,line_search,1,2,success,"[ 65.278  75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5571333150120472,-0.003247756695604675
0,line_search,1,3,success,"[ 60.417  75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5566192465954106,-0.00261851883080977
0,line_search,1,4,success,"[ 55.556  75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5553838041146174,-0.0006519467480437693
0,line_search,2,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293
0,line_search,2,1,success,"[ 71.52775  75.      210.      210.        5.        1.6       0.6
  35.        1.        1.3      83.      208.      280.        1.2
   1.        0.485  ]",0.5591033387893094,-0.005257904547796184
0,line_search,2,2,success,"[ 68.0555  75.     210.     210.       5.       1.6      0.6     35.
   1.       1.3     83.     208.     280.       1.2      1.       0.485 ]",0.5588598585656923,-0.004819289818245727
0,line_search,2,3,success,"[ 64.58325  75.      210.      210.        5.        1.6       0.6
  35.        1.        1.3      83.      208.      280.        1.2
   1.        0.485  ]",0.5582203073612017,-0.004017963592791879
0,line_search,2,4,success,"[ 61.111  75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5570905754578788,-0.002788090728852802
0,line_search,3,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293
0,line_search,3,1,success,"[ 72.91675  75.      210.      210.        5.        1.6       0.6
  35.        1.        1.3      83.      208.      280.        1.2
   1.        0.485  ]",0.5592146169319593,-0.005428035009778582
0,line_search,3,2,success,"[ 70.8335  75.     210.     210.       5.       1.6      0.6     35.
   1.       1.3     83.     208.     280.       1.2      1.       0.485 ]",0.5590465741549165,-0.00517404212086882
0,line_search,3,3,success,"[ 68.75025  75.      210.      210.        5.        1.6       0.6
  35.        1.        1.3      83.      208.      280.        1.2
   1.        0.485  ]",0.5589081903357145,-0.004910836373716824
0,line_search,3,4,success,"[ 66.667  75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5587683255756825,-0.004633575959098739
0,line_search,4,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293
0,line_search,4,1,success,"[ 74.3055  75.     210.     210.       5.       1.6      0.6     35.
   1.       1.3     83.     208.     280.       1.2      1.       0.485 ]",0.5593298397389647,-0.005590030710949164
0,line_search,4,2,success,"[ 73.611  75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5592750471707855,-0.005508532967923197
0,line_search,4,3,success,"[ 72.9165  75.     210.     210.       5.       1.6      0.6     35.
   1.       1.3     83.     208.     280.       1.2      1.       0.485 ]",0.5592176103471574,-0.005425500768824912
0,line_search,4,4,success,"[ 72.222  75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5591588282187673,-0.005344061638259461
0,line_search,5,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293
0,line_search,5,1,success,"[ 75.6945  75.     210.     210.       5.       1.6      0.6     35.
   1.       1.3     83.     208.     280.       1.2      1.       0.485 ]",0.5594440335015137,-0.0056609743344097525
0,line_search,5,2,success,"[ 76.389  75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594857390808514,-0.0056597117174248465
0,line_search,5,3,success,"[ 77.0835  75.     210.     210.       5.       1.6      0.6     35.
   1.       1.3     83.     208.     280.       1.2      1.       0.485 ]",0.5595274619153018,-0.005658460788950497
0,line_search,5,4,success,"[ 77.778  75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5595684193902953,-0.005657215078442463
0,line_search,6,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293
0,line_search,6,1,success,"[ 77.08325  75.      210.      210.        5.        1.6       0.6
  35.        1.        1.3      83.      208.      280.        1.2
   1.        0.485  ]",0.5595271296091706,-0.005658459916128332
0,line_search,6,2,success,"[ 79.1665  75.     210.     210.       5.       1.6      0.6     35.
   1.       1.3     83.     208.     280.       1.2      1.       0.485 ]",0.5596501731459221,-0.005654753439737178
0,line_search,6,3,success,"[ 81.24975  75.      210.      210.        5.        1.6       0.6
  35.        1.        1.3      83.      208.      280.        1.2
   1.        0.485  ]",0.5597715453766937,-0.005651125524450574
0,line_search,6,4,success,"[ 83.333  75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5598905300389933,-0.005647566283038759
0,line_search,7,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293
0,line_search,7,1,success,"[ 78.47225  75.      210.      210.        5.        1.6       0.6
  35.        1.        1.3      83.      208.      280.        1.2
   1.        0.485  ]",0.5596093587396653,-0.005655980474905169
0,line_search,7,2,success,"[ 81.9445  75.     210.     210.       5.       1.6      0.6     35.
   1.       1.3     83.     208.     280.       1.2      1.       0.485 ]",0.5598112371394799,-0.005649929217565126
0,line_search,7,3,success,"[ 85.41675  75.      210.      210.        5.        1.6       0.6
  35.        1.        1.3      83.      208.      280.        1.2
   1.        0.485  ]",0.5600082977603097,-0.005644078479906134
0,line_search,7,4,success,"[ 88.889  75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5602000511039752,-0.005638407259271352
0,line_search,8,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293
0,line_search,8,1,success,"[ 79.861  75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5596907128908147,-0.0056535357523740375
0,line_search,8,2,success,"[ 84.722  75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5599690356987108,-0.005645232429163484
0,line_search,8,3,success,"[ 89.583  75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5602381493408513,-0.005637296499160979
0,line_search,8,4,success,"[ 94.444  75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5604980187252141,-0.005629685636977467
0,line_search,9,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293
0,line_search,9,1,success,"[ 81.25   75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5597712423433466,-0.005651123771830417
0,line_search,9,2,success,"[ 87.5    75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5601237783182312,-0.005640653783451311
0,line_search,9,3,success,"[ 93.75   75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5604616515199952,-0.005630754739536269
0,line_search,9,4,success,"[100.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5607855505872492,-0.005621351605991122
0,line_search,10,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293
0,line_search,10,1,success,"[ 75.     68.75  210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5573957762270443,-0.004942472364226182
0,line_search,10,2,success,"[ 75.     62.5   210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5536773379716551,-0.002774885095533637
0,line_search,10,3,success,"[ 75.     56.25  210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5523144822508677,-0.0019413187838824765
0,line_search,10,4,not_converged,"[ 75.     50.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",,
0,line_search,11,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293
0,line_search,11,1,success,"[ 75.     70.139 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5578251144672234,-0.005108053485868526
0,line_search,11,2,success,"[ 75.     65.278 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5556211507359757,-0.003940901746875781
0,line_search,11,3,success,"[ 75.     60.417 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5533616037290845,-0.0027106906751215836
0,line_search,11,4,success,"[ 75.     55.556 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5508723188899721,-0.0008790463652868859
0,line_search,12,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293
0,line_search,12,1,success,"[ 75.       71.52775 210.      210.        5.        1.6       0.6
  35.        1.        1.3      83.      208.      280.        1.2
   1.        0.485  ]",0.5582728968112346,-0.005274356045337833
0,line_search,12,2,success,"[ 75.      68.0555 210.     210.       5.       1.6      0.6     35.
   1.       1.3     83.     208.     280.       1.2      1.       0.485 ]",0.5571744055851159,-0.004856242648568817
0,line_search,12,3,success,"[ 75.       64.58325 210.      210.        5.        1.6       0.6
  35.        1.        1.3      83.      208.      280.        1.2
   1.        0.485  ]",0.5555116829402068,-0.003971475343491671
0,line_search,12,4,success,"[ 75.     61.111 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5532679378847197,-0.002568244340686165
0,line_search,13,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293
0,line_search,13,1,success,"[ 75.       72.91675 210.      210.        5.        1.6       0.6
  35.        1.        1.3      83.      208.      280.        1.2
   1.        0.485  ]",0.5587175380767975,-0.005438717378518403
0,line_search,13,2,success,"[ 75.      70.8335 210.     210.       5.       1.6      0.6     35.
   1.       1.3     83.     208.     280.       1.2      1.       0.485 ]",0.5580429529908664,-0.005196215957523975
0,line_search,13,3,success,"[ 75.       68.75025 210.      210.        5.        1.6       0.6
  35.        1.        1.3      83.      208.      280.        1.2
   1.        0.485  ]",0.5573997287487642,-0.004939226954718133
0,line_search,13,4,success,"[ 75.     66.667 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5567392815881244,-0.004675351754970212
0,line_search,14,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293
0,line_search,14,1,success,"[ 75.      74.3055 210.     210.       5.       1.6      0.6     35.
   1.       1.3     83.     208.     280.       1.2      1.       0.485 ]",0.5591686887638015,-0.005591383676971546
0,line_search,14,2,success,"[ 75.     73.611 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5589373187736711,-0.0055207449398515735
0,line_search,14,3,success,"[ 75.      72.9165 210.     210.       5.       1.6      0.6     35.
   1.       1.3     83.     208.     280.       1.2      1.       0.485 ]",0.5587187317575646,-0.005438644375973648
0,line_search,14,4,success,"[ 75.     72.222 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5584961101220717,-0.0053559045904310225
0,line_search,15,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293
0,line_search,15,1,success,"[ 75.      75.6945 210.     210.       5.       1.6      0.6     35.
   1.       1.3     83.     208.     280.       1.2      1.       0.485 ]",0.5596087323901349,-0.005657325880171947
0,line_search,15,2,success,"[ 75.     76.389 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5598146586612971,-0.005652433681078963
0,line_search,15,3,success,"[ 75.      77.0835 210.     210.       5.       1.6      0.6     35.
   1.       1.3     83.     208.     280.       1.2      1.       0.485 ]",0.5600192197057783,-0.005647571983951286
0,line_search,15,4,success,"[ 75.     77.778 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.560223072755265,-0.005642740030434264
0,line_search,16,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293
0,line_search,16,1,success,"[ 75.       77.08325 210.      210.        5.        1.6       0.6
  35.        1.        1.3      83.      208.      280.        1.2
   1.        0.485  ]",0.5600191086467529,-0.0056475742076618355
0,line_search,16,2,success,"[ 75.      79.1665 210.     210.       5.       1.6      0.6     35.
   1.       1.3     83.     208.     280.       1.2      1.       0.485 ]",0.5606282943781027,-0.005633169696544116
0,line_search,16,3,success,"[ 75.       81.24975 210.      210.        5.        1.6       0.6
  35.        1.        1.3      83.      208.      280.        1.2
   1.        0.485  ]",0.5612292436624191,-0.005619023447867208
0,line_search,16,4,success,"[ 75.     83.333 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.561822848782672,-0.005605123931227017
0,line_search,17,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293
0,line_search,17,1,success,"[ 75.       78.47225 210.      210.        5.        1.6       0.6
  35.        1.        1.3      83.      208.      280.        1.2
   1.        0.485  ]",0.560425990201186,-0.00563794093434702
0,line_search,17,2,success,"[ 75.      81.9445 210.     210.       5.       1.6      0.6     35.
   1.       1.3     83.     208.     280.       1.2      1.       0.485 ]",0.5614282543773651,-0.005614361552428574
0,line_search,17,3,success,"[ 75.       85.41675 210.      210.        5.        1.6       0.6
  35.        1.        1.3      83.      208.      280.        1.2
   1.        0.485  ]",0.5624093580114236,-0.005591458766012743
0,line_search,17,4,success,"[ 75.     88.889 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5633710054408054,-0.005569185809522793
0,line_search,18,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293
0,line_search,18,1,success,"[ 75.     79.861 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5608293067629146,-0.005628425907140297
0,line_search,18,2,success,"[ 75.     84.722 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5622148272137405,-0.0055959896588863535
0,line_search,18,3,success,"[ 75.     89.583 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5635609776720533,-0.005564806563877812
0,line_search,18,4,success,"[ 75.     94.444 210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5648711061820751,-0.005534761903344441
0,line_search,19,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293
0,line_search,19,1,success,"[ 75.     81.25  210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5612292778110245,-0.0056190222452327
0,line_search,19,2,success,"[ 75.     87.5   210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5629888411592258,-0.005578023348624833
0,line_search,19,3,success,"[ 75.     93.75  210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5646862058277087,-0.005538986012080273
0,line_search,19,4,success,"[ 75.    100.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.566327363024221,-0.005501690715956862
0,line_search,20,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293
0,line_search,20,1,success,"[ 75.     75.    183.75  210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5658578144455821,0.07077591040074582
0,line_search,20,2,success,"[ 75.     75.    157.5   210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5724029910001349,0.14689106995597262
0,line_search,20,3,success,"[ 75.     75.    131.25  210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5789856524292017,0.2226842856213997
0,line_search,20,4,success,"[ 75.     75.    105.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.585576183602947,0.2981640030001613
0,line_search,21,0,success,"[ 75.     75.    210.    210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5594024278755323,-0.005662249911695293
0,line_search,21,1,success,"[ 75.       75.      189.58325 210.        5.        1.6       0.6
  35.        1.        1.3      83.      208.      280.        1.2
   1.        0.485  ]",0.5644199138065996,0.0538177616431624
0,line_search,21,2,success,"[ 75.      75.     169.1665 210.       5.       1.6      0.6     35.
   1.       1.3     83.     208.     280.       1.2      1.       0.485 ]",0.5694850887588129,0.11310251700783662
0,line_search,21,3,success,"[ 75.       75.      148.74975 210.        5.        1.6       0.6
  35.        1.        1.3      83.      208.      280.        1.2
   1.        0.485  ]",0.5745954837240685,0.1721917678909454
0,line_search,21,4,success,"[ 75.     75.    128.333 210.      5.      1.6     0.6    35.      1.
   1.3    83.    208.    280.      1.2     1.      0.485]",0.5797179565334291,0.23108709117898033
