Dataset,n_features,n_dropped,n_layers,num_params,R2,top_feature,top_feat_S1,top_feat_SHAP,top_feat_KAN,rho_KAN_vs_S1,rho_KAN_vs_SHAP
exponential,2,0,1,28,0.9995056983920827,Exponent,0.9139357162749909,0.7512586015819374,0.7655299342269752,0.9999999999999999,0.9999999999999999
logarithm,2,0,1,28,0.9999999999537516,Log,0.5235519705297611,0.4994903046266643,0.512203815470569,0.9999999999999999,-0.9999999999999999
log2,2,0,2,28,0.9998608493591825,Linear,0.5143168853788027,0.512604613994555,0.4914812168754811,-0.9999999999999999,-0.9999999999999999
rosenbrock,2,0,2,28,0.9105616793969652,Quadratic,0.6814458006305932,0.5414756418304626,0.7061023264550619,0.9999999999999999,0.9999999999999999
AgNP,5,0,1,70,0.8123288984058297,QAgNO3,0.6841116158921847,0.4772619772342767,0.5050277980281501,0.9999999999999999,0.9999999999999999
CO2AR4500,6,0,1,54,0.7615094281529992,PLD,0.46839500755700064,0.32480848187738165,0.32093999557202274,1.0,1.0
CO2AH4500,6,0,1,54,0.7614969411803423,PLD,0.370833281019405,0.2845492594847872,0.2812406682635884,1.0,1.0
CO2RRLCA,8,2,1,72,0.9650413478277015,CO conversion,0.49964453813141974,0.3485361125796957,0.3764611112060332,1.0,1.0
CO2RRNPV,8,2,1,112,0.9712024719286749,Current density,0.6876947767007213,0.473131151713629,0.48342446120039806,1.0,1.0
CO2HPx10,16,5,1,144,0.8589839019477519,Pd_P150,0.9512865175141997,0.4555351471353186,0.6319508961527909,0.881818181818182,0.990909090909091
