Prime Delay,Print Speed,X Offset Correction,Y Offset Correction,Y
0.046875,0.265625,0.703125,0.546875,0.25647932
0.140625,0.265625,0.703125,0.546875,0.25626463
0.046875,0.921875,0.703125,0.546875,0.23960221
0.046875,0.265625,0.796875,0.546875,0.17588288
0.046875,0.265625,0.703125,0.671875,0.16921139
0.140625,0.921875,0.796875,0.671875,0.07152311
0.546875,0.765625,0.203125,0.046875,0.24552539
0.640625,0.765625,0.203125,0.046875,0.24903464
0.546875,0.421875,0.203125,0.046875,0.25551996
0.546875,0.765625,0.296875,0.046875,0.43498746
0.546875,0.765625,0.203125,0.171875,0.33072615
0.640625,0.421875,0.296875,0.171875,0.53369206
0.796875,0.015625,0.953125,0.796875,0.16104394
0.890625,0.015625,0.953125,0.796875,0.16053897
0.796875,0.171875,0.953125,0.796875,0.17058632
0.796875,0.015625,0.546875,0.796875,0.36450502
0.796875,0.015625,0.953125,0.421875,0.37880534
0.890625,0.171875,0.546875,0.421875,0.5913038
0.296875,0.515625,0.453125,0.296875,0.71935034
0.390625,0.515625,0.453125,0.296875,0.7182308
0.296875,0.671875,0.453125,0.296875,0.7155268
0.296875,0.515625,0.046875,0.296875,0.24106422
0.296875,0.515625,0.453125,0.921875,0.48099548
0.390625,0.671875,0.046875,0.921875,-0.002233617
0.421875,0.140625,0.078125,0.421875,0.19567156
0.265625,0.140625,0.078125,0.421875,0.19774581
0.421875,0.796875,0.078125,0.421875,0.22234683
0.421875,0.140625,0.671875,0.421875,0.3289228
0.421875,0.140625,0.078125,0.296875,0.20443168
0.265625,0.796875,0.671875,0.296875,0.36643243
0.921875,0.640625,0.578125,0.921875,0.3222385
0.765625,0.640625,0.578125,0.921875,0.32312006
0.921875,0.296875,0.578125,0.921875,0.34652394
0.921875,0.640625,0.171875,0.921875,0.08970989
0.921875,0.640625,0.578125,0.796875,0.33407182
0.765625,0.296875,0.171875,0.796875,0.12671013
0.671875,0.390625,0.328125,0.171875,0.59104705
0.515625,0.390625,0.328125,0.171875,0.5722731
0.671875,0.046875,0.328125,0.171875,0.54846406
