Pd_C103,Pd_C301,HX100,T_E110,L_R100,D_R100,F_S220,T_E120,P_V100,Pd_P150,HX150,HX220,T_E220,Rr_D200,Pc_D200,F_S220.1,Y
0.005859375,0.498046875,0.677734375,0.294921875,0.779296875,0.107421875,0.365234375,0.357421875,0.287109375,0.408203125,0.455078125,0.998046875,0.236328125,0.322265625,0.513671875,0.126953125,0.27736694
0.908203125,0.498046875,0.677734375,0.294921875,0.779296875,0.107421875,0.365234375,0.357421875,0.287109375,0.408203125,0.455078125,0.998046875,0.236328125,0.322265625,0.513671875,0.126953125,0.2772898
0.005859375,0.173828125,0.677734375,0.294921875,0.779296875,0.107421875,0.365234375,0.357421875,0.287109375,0.408203125,0.455078125,0.998046875,0.236328125,0.322265625,0.513671875,0.126953125,0.27736694
0.005859375,0.498046875,0.361328125,0.294921875,0.779296875,0.107421875,0.365234375,0.357421875,0.287109375,0.408203125,0.455078125,0.998046875,0.236328125,0.322265625,0.513671875,0.126953125,0.2775035
0.005859375,0.498046875,0.677734375,0.376953125,0.779296875,0.107421875,0.365234375,0.357421875,0.287109375,0.408203125,0.455078125,0.998046875,0.236328125,0.322265625,0.513671875,0.126953125,0.34326303
0.005859375,0.498046875,0.677734375,0.294921875,0.970703125,0.107421875,0.365234375,0.357421875,0.287109375,0.408203125,0.455078125,0.998046875,0.236328125,0.322265625,0.513671875,0.126953125,0.2773511
0.005859375,0.498046875,0.677734375,0.294921875,0.779296875,0.724609375,0.365234375,0.357421875,0.287109375,0.408203125,0.455078125,0.998046875,0.236328125,0.322265625,0.513671875,0.126953125,0.20117089
0.005859375,0.498046875,0.677734375,0.294921875,0.779296875,0.107421875,0.173828125,0.357421875,0.287109375,0.408203125,0.455078125,0.998046875,0.236328125,0.322265625,0.513671875,0.126953125,0.27732375
0.005859375,0.498046875,0.677734375,0.294921875,0.779296875,0.107421875,0.365234375,0.923828125,0.287109375,0.408203125,0.455078125,0.998046875,0.236328125,0.322265625,0.513671875,0.126953125,0.27736694
0.005859375,0.498046875,0.677734375,0.294921875,0.779296875,0.107421875,0.365234375,0.357421875,0.103515625,0.408203125,0.455078125,0.998046875,0.236328125,0.322265625,0.513671875,0.126953125,0.27736694
0.005859375,0.498046875,0.677734375,0.294921875,0.779296875,0.107421875,0.365234375,0.357421875,0.287109375,0.841796875,0.455078125,0.998046875,0.236328125,0.322265625,0.513671875,0.126953125,0.2773779
0.005859375,0.498046875,0.677734375,0.294921875,0.779296875,0.107421875,0.365234375,0.357421875,0.287109375,0.408203125,0.978515625,0.998046875,0.236328125,0.322265625,0.513671875,0.126953125,0.28847685
0.005859375,0.498046875,0.677734375,0.294921875,0.779296875,0.107421875,0.365234375,0.357421875,0.287109375,0.408203125,0.455078125,0.513671875,0.236328125,0.322265625,0.513671875,0.126953125,0.27769724
0.005859375,0.498046875,0.677734375,0.294921875,0.779296875,0.107421875,0.365234375,0.357421875,0.287109375,0.408203125,0.455078125,0.998046875,0.755859375,0.322265625,0.513671875,0.126953125,0.27736694
0.005859375,0.498046875,0.677734375,0.294921875,0.779296875,0.107421875,0.365234375,0.357421875,0.287109375,0.408203125,0.455078125,0.998046875,0.236328125,0.908203125,0.513671875,0.126953125,0.27755708
0.005859375,0.498046875,0.677734375,0.294921875,0.779296875,0.107421875,0.365234375,0.357421875,0.287109375,0.408203125,0.455078125,0.998046875,0.236328125,0.322265625,0.396484375,0.126953125,0.27736694
0.005859375,0.498046875,0.677734375,0.294921875,0.779296875,0.107421875,0.365234375,0.357421875,0.287109375,0.408203125,0.455078125,0.998046875,0.236328125,0.322265625,0.513671875,0.115234375,0.27736694
0.908203125,0.173828125,0.361328125,0.376953125,0.970703125,0.724609375,0.173828125,0.923828125,0.103515625,0.841796875,0.978515625,0.513671875,0.755859375,0.908203125,0.396484375,0.115234375,0.27870873
0.505859375,0.998046875,0.177734375,0.794921875,0.279296875,0.607421875,0.865234375,0.857421875,0.787109375,0.908203125,0.955078125,0.498046875,0.736328125,0.822265625,0.013671875,0.626953125,0.59995824
0.408203125,0.998046875,0.177734375,0.794921875,0.279296875,0.607421875,0.865234375,0.857421875,0.787109375,0.908203125,0.955078125,0.498046875,0.736328125,0.822265625,0.013671875,0.626953125,0.5999569
0.505859375,0.673828125,0.177734375,0.794921875,0.279296875,0.607421875,0.865234375,0.857421875,0.787109375,0.908203125,0.955078125,0.498046875,0.736328125,0.822265625,0.013671875,0.626953125,0.59995824
0.505859375,0.998046875,0.861328125,0.794921875,0.279296875,0.607421875,0.865234375,0.857421875,0.787109375,0.908203125,0.955078125,0.498046875,0.736328125,0.822265625,0.013671875,0.626953125,0.5980366
0.505859375,0.998046875,0.177734375,0.876953125,0.279296875,0.607421875,0.865234375,0.857421875,0.787109375,0.908203125,0.955078125,0.498046875,0.736328125,0.822265625,0.013671875,0.626953125,0.65382713
0.505859375,0.998046875,0.177734375,0.794921875,0.470703125,0.607421875,0.865234375,0.857421875,0.787109375,0.908203125,0.955078125,0.498046875,0.736328125,0.822265625,0.013671875,0.626953125,0.60029805
0.505859375,0.998046875,0.177734375,0.794921875,0.279296875,0.224609375,0.865234375,0.857421875,0.787109375,0.908203125,0.955078125,0.498046875,0.736328125,0.822265625,0.013671875,0.626953125,0.60374016
0.505859375,0.998046875,0.177734375,0.794921875,0.279296875,0.607421875,0.673828125,0.857421875,0.787109375,0.908203125,0.955078125,0.498046875,0.736328125,0.822265625,0.013671875,0.626953125,0.60160196
0.505859375,0.998046875,0.177734375,0.794921875,0.279296875,0.607421875,0.865234375,0.423828125,0.787109375,0.908203125,0.955078125,0.498046875,0.736328125,0.822265625,0.013671875,0.626953125,0.59995824
0.505859375,0.998046875,0.177734375,0.794921875,0.279296875,0.607421875,0.865234375,0.857421875,0.603515625,0.908203125,0.955078125,0.498046875,0.736328125,0.822265625,0.013671875,0.626953125,0.59995824
0.505859375,0.998046875,0.177734375,0.794921875,0.279296875,0.607421875,0.865234375,0.857421875,0.787109375,0.341796875,0.955078125,0.498046875,0.736328125,0.822265625,0.013671875,0.626953125,0.5999386
0.505859375,0.998046875,0.177734375,0.794921875,0.279296875,0.607421875,0.865234375,0.857421875,0.787109375,0.908203125,0.478515625,0.498046875,0.736328125,0.822265625,0.013671875,0.626953125,0.58473754
0.505859375,0.998046875,0.177734375,0.794921875,0.279296875,0.607421875,0.865234375,0.857421875,0.787109375,0.908203125,0.955078125,0.013671875,0.736328125,0.822265625,0.013671875,0.626953125,0.59995824
0.505859375,0.998046875,0.177734375,0.794921875,0.279296875,0.607421875,0.865234375,0.857421875,0.787109375,0.908203125,0.955078125,0.498046875,0.255859375,0.822265625,0.013671875,0.626953125,0.59995824
0.505859375,0.998046875,0.177734375,0.794921875,0.279296875,0.607421875,0.865234375,0.857421875,0.787109375,0.908203125,0.955078125,0.498046875,0.736328125,0.408203125,0.013671875,0.626953125,0.59978116
0.505859375,0.998046875,0.177734375,0.794921875,0.279296875,0.607421875,0.865234375,0.857421875,0.787109375,0.908203125,0.955078125,0.498046875,0.736328125,0.822265625,0.896484375,0.626953125,0.5998784
0.505859375,0.998046875,0.177734375,0.794921875,0.279296875,0.607421875,0.865234375,0.857421875,0.787109375,0.908203125,0.955078125,0.498046875,0.736328125,0.822265625,0.013671875,0.615234375,0.59995824
0.408203125,0.673828125,0.861328125,0.876953125,0.470703125,0.224609375,0.673828125,0.423828125,0.603515625,0.341796875,0.478515625,0.013671875,0.255859375,0.408203125,0.896484375,0.615234375,0.6421723
0.755859375,0.248046875,0.927734375,0.044921875,0.029296875,0.857421875,0.115234375,0.607421875,0.537109375,0.658203125,0.705078125,0.248046875,0.486328125,0.072265625,0.263671875,0.376953125,0.012012481
0.158203125,0.248046875,0.927734375,0.044921875,0.029296875,0.857421875,0.115234375,0.607421875,0.537109375,0.658203125,0.705078125,0.248046875,0.486328125,0.072265625,0.263671875,0.376953125,0.0119979
0.755859375,0.423828125,0.927734375,0.044921875,0.029296875,0.857421875,0.115234375,0.607421875,0.537109375,0.658203125,0.705078125,0.248046875,0.486328125,0.072265625,0.263671875,0.376953125,0.012012481
0.755859375,0.248046875,0.611328125,0.044921875,0.029296875,0.857421875,0.115234375,0.607421875,0.537109375,0.658203125,0.705078125,0.248046875,0.486328125,0.072265625,0.263671875,0.376953125,0.012040212
0.755859375,0.248046875,0.927734375,0.126953125,0.029296875,0.857421875,0.115234375,0.607421875,0.537109375,0.658203125,0.705078125,0.248046875,0.486328125,0.072265625,0.263671875,0.376953125,0.07181917
0.755859375,0.248046875,0.927734375,0.044921875,0.720703125,0.857421875,0.115234375,0.607421875,0.537109375,0.658203125,0.705078125,0.248046875,0.486328125,0.072265625,0.263671875,0.376953125,0.012042447
0.755859375,0.248046875,0.927734375,0.044921875,0.029296875,0.474609375,0.115234375,0.607421875,0.537109375,0.658203125,0.705078125,0.248046875,0.486328125,0.072265625,0.263671875,0.376953125,-0.0042297477
0.755859375,0.248046875,0.927734375,0.044921875,0.029296875,0.857421875,0.423828125,0.607421875,0.537109375,0.658203125,0.705078125,0.248046875,0.486328125,0.072265625,0.263671875,0.376953125,0.0121021485
0.755859375,0.248046875,0.927734375,0.044921875,0.029296875,0.857421875,0.115234375,0.673828125,0.537109375,0.658203125,0.705078125,0.248046875,0.486328125,0.072265625,0.263671875,0.376953125,0.012012481
0.755859375,0.248046875,0.927734375,0.044921875,0.029296875,0.857421875,0.115234375,0.607421875,0.353515625,0.658203125,0.705078125,0.248046875,0.486328125,0.072265625,0.263671875,0.376953125,0.012012481
0.755859375,0.248046875,0.927734375,0.044921875,0.029296875,0.857421875,0.115234375,0.607421875,0.537109375,0.091796875,0.705078125,0.248046875,0.486328125,0.072265625,0.263671875,0.376953125,0.0112527935
0.755859375,0.248046875,0.927734375,0.044921875,0.029296875,0.857421875,0.115234375,0.607421875,0.537109375,0.658203125,0.728515625,0.248046875,0.486328125,0.072265625,0.263671875,0.376953125,0.011492549
0.755859375,0.248046875,0.927734375,0.044921875,0.029296875,0.857421875,0.115234375,0.607421875,0.537109375,0.658203125,0.705078125,0.263671875,0.486328125,0.072265625,0.263671875,0.376953125,0.012012481
0.755859375,0.248046875,0.927734375,0.044921875,0.029296875,0.857421875,0.115234375,0.607421875,0.537109375,0.658203125,0.705078125,0.248046875,0.505859375,0.072265625,0.263671875,0.376953125,0.012012481
0.755859375,0.248046875,0.927734375,0.044921875,0.029296875,0.857421875,0.115234375,0.607421875,0.537109375,0.658203125,0.705078125,0.248046875,0.486328125,0.158203125,0.263671875,0.376953125,0.012012481
0.755859375,0.248046875,0.927734375,0.044921875,0.029296875,0.857421875,0.115234375,0.607421875,0.537109375,0.658203125,0.705078125,0.248046875,0.486328125,0.072265625,0.146484375,0.376953125,0.012012481
0.755859375,0.248046875,0.927734375,0.044921875,0.029296875,0.857421875,0.115234375,0.607421875,0.537109375,0.658203125,0.705078125,0.248046875,0.486328125,0.072265625,0.263671875,0.365234375,0.012012481
0.158203125,0.423828125,0.611328125,0.126953125,0.720703125,0.474609375,0.423828125,0.673828125,0.353515625,0.091796875,0.728515625,0.263671875,0.505859375,0.158203125,0.146484375,0.365234375,0.0544301
0.255859375,0.748046875,0.427734375,0.544921875,0.529296875,0.357421875,0.615234375,0.107421875,0.037109375,0.158203125,0.205078125,0.748046875,0.986328125,0.572265625,0.763671875,0.876953125,0.37001184
0.658203125,0.748046875,0.427734375,0.544921875,0.529296875,0.357421875,0.615234375,0.107421875,0.037109375,0.158203125,0.205078125,0.748046875,0.986328125,0.572265625,0.763671875,0.876953125,0.37001857
0.255859375,0.923828125,0.427734375,0.544921875,0.529296875,0.357421875,0.615234375,0.107421875,0.037109375,0.158203125,0.205078125,0.748046875,0.986328125,0.572265625,0.763671875,0.876953125,0.37001184
0.255859375,0.748046875,0.111328125,0.544921875,0.529296875,0.357421875,0.615234375,0.107421875,0.037109375,0.158203125,0.205078125,0.748046875,0.986328125,0.572265625,0.763671875,0.876953125,0.37196845
0.255859375,0.748046875,0.427734375,0.626953125,0.529296875,0.357421875,0.615234375,0.107421875,0.037109375,0.158203125,0.205078125,0.748046875,0.986328125,0.572265625,0.763671875,0.876953125,0.43355313
0.255859375,0.748046875,0.427734375,0.544921875,0.220703125,0.357421875,0.615234375,0.107421875,0.037109375,0.158203125,0.205078125,0.748046875,0.986328125,0.572265625,0.763671875,0.876953125,0.369656
0.255859375,0.748046875,0.427734375,0.544921875,0.529296875,0.974609375,0.615234375,0.107421875,0.037109375,0.158203125,0.205078125,0.748046875,0.986328125,0.572265625,0.763671875,0.876953125,0.40895373
0.255859375,0.748046875,0.427734375,0.544921875,0.529296875,0.357421875,0.923828125,0.107421875,0.037109375,0.158203125,0.205078125,0.748046875,0.986328125,0.572265625,0.763671875,0.876953125,0.3683364
0.255859375,0.748046875,0.427734375,0.544921875,0.529296875,0.357421875,0.615234375,0.173828125,0.037109375,0.158203125,0.205078125,0.748046875,0.986328125,0.572265625,0.763671875,0.876953125,0.37001184
0.255859375,0.748046875,0.427734375,0.544921875,0.529296875,0.357421875,0.615234375,0.107421875,0.853515625,0.158203125,0.205078125,0.748046875,0.986328125,0.572265625,0.763671875,0.876953125,0.37001184
0.255859375,0.748046875,0.427734375,0.544921875,0.529296875,0.357421875,0.615234375,0.107421875,0.037109375,0.591796875,0.205078125,0.748046875,0.986328125,0.572265625,0.763671875,0.876953125,0.3703954
0.255859375,0.748046875,0.427734375,0.544921875,0.529296875,0.357421875,0.615234375,0.107421875,0.037109375,0.158203125,0.228515625,0.748046875,0.986328125,0.572265625,0.763671875,0.876953125,0.36997458
0.255859375,0.748046875,0.427734375,0.544921875,0.529296875,0.357421875,0.615234375,0.107421875,0.037109375,0.158203125,0.205078125,0.763671875,0.986328125,0.572265625,0.763671875,0.876953125,0.37001184
0.255859375,0.748046875,0.427734375,0.544921875,0.529296875,0.357421875,0.615234375,0.107421875,0.037109375,0.158203125,0.205078125,0.748046875,0.005859375,0.572265625,0.763671875,0.876953125,0.37001184
0.255859375,0.748046875,0.427734375,0.544921875,0.529296875,0.357421875,0.615234375,0.107421875,0.037109375,0.158203125,0.205078125,0.748046875,0.986328125,0.658203125,0.763671875,0.876953125,0.3700802
0.255859375,0.748046875,0.427734375,0.544921875,0.529296875,0.357421875,0.615234375,0.107421875,0.037109375,0.158203125,0.205078125,0.748046875,0.986328125,0.572265625,0.646484375,0.876953125,0.37001184
0.255859375,0.748046875,0.427734375,0.544921875,0.529296875,0.357421875,0.615234375,0.107421875,0.037109375,0.158203125,0.205078125,0.748046875,0.986328125,0.572265625,0.763671875,0.865234375,0.37001184
0.658203125,0.923828125,0.111328125,0.626953125,0.220703125,0.974609375,0.923828125,0.173828125,0.853515625,0.591796875,0.228515625,0.763671875,0.005859375,0.658203125,0.646484375,0.865234375,0.47284174
0.380859375,0.123046875,0.052734375,0.669921875,0.654296875,0.232421875,0.240234375,0.732421875,0.662109375,0.783203125,0.580078125,0.623046875,0.361328125,0.947265625,0.888671875,0.751953125,0.4937498
0.533203125,0.123046875,0.052734375,0.669921875,0.654296875,0.232421875,0.240234375,0.732421875,0.662109375,0.783203125,0.580078125,0.623046875,0.361328125,0.947265625,0.888671875,0.751953125,0.49375188
0.380859375,0.798828125,0.052734375,0.669921875,0.654296875,0.232421875,0.240234375,0.732421875,0.662109375,0.783203125,0.580078125,0.623046875,0.361328125,0.947265625,0.888671875,0.751953125,0.4937498
0.380859375,0.123046875,0.736328125,0.669921875,0.654296875,0.232421875,0.240234375,0.732421875,0.662109375,0.783203125,0.580078125,0.623046875,0.361328125,0.947265625,0.888671875,0.751953125,0.49171302
0.380859375,0.123046875,0.052734375,0.251953125,0.654296875,0.232421875,0.240234375,0.732421875,0.662109375,0.783203125,0.580078125,0.623046875,0.361328125,0.947265625,0.888671875,0.751953125,0.16338892
0.380859375,0.123046875,0.052734375,0.669921875,0.845703125,0.232421875,0.240234375,0.732421875,0.662109375,0.783203125,0.580078125,0.623046875,0.361328125,0.947265625,0.888671875,0.751953125,0.4936873
0.380859375,0.123046875,0.052734375,0.669921875,0.654296875,0.599609375,0.240234375,0.732421875,0.662109375,0.783203125,0.580078125,0.623046875,0.361328125,0.947265625,0.888671875,0.751953125,0.49470764
0.380859375,0.123046875,0.052734375,0.669921875,0.654296875,0.232421875,0.298828125,0.732421875,0.662109375,0.783203125,0.580078125,0.623046875,0.361328125,0.947265625,0.888671875,0.751953125,0.49376142
0.380859375,0.123046875,0.052734375,0.669921875,0.654296875,0.232421875,0.240234375,0.048828125,0.662109375,0.783203125,0.580078125,0.623046875,0.361328125,0.947265625,0.888671875,0.751953125,0.4937498
0.380859375,0.123046875,0.052734375,0.669921875,0.654296875,0.232421875,0.240234375,0.732421875,0.978515625,0.783203125,0.580078125,0.623046875,0.361328125,0.947265625,0.888671875,0.751953125,0.4937498
0.380859375,0.123046875,0.052734375,0.669921875,0.654296875,0.232421875,0.240234375,0.732421875,0.662109375,0.216796875,0.580078125,0.623046875,0.361328125,0.947265625,0.888671875,0.751953125,0.4936586
0.380859375,0.123046875,0.052734375,0.669921875,0.654296875,0.232421875,0.240234375,0.732421875,0.662109375,0.783203125,0.603515625,0.623046875,0.361328125,0.947265625,0.888671875,0.751953125,0.49356657
0.380859375,0.123046875,0.052734375,0.669921875,0.654296875,0.232421875,0.240234375,0.732421875,0.662109375,0.783203125,0.580078125,0.138671875,0.361328125,0.947265625,0.888671875,0.751953125,0.4937498
0.380859375,0.123046875,0.052734375,0.669921875,0.654296875,0.232421875,0.240234375,0.732421875,0.662109375,0.783203125,0.580078125,0.623046875,0.880859375,0.947265625,0.888671875,0.751953125,0.4937498
0.380859375,0.123046875,0.052734375,0.669921875,0.654296875,0.232421875,0.240234375,0.732421875,0.662109375,0.783203125,0.580078125,0.623046875,0.361328125,0.783203125,0.888671875,0.751953125,0.49372414
0.380859375,0.123046875,0.052734375,0.669921875,0.654296875,0.232421875,0.240234375,0.732421875,0.662109375,0.783203125,0.580078125,0.623046875,0.361328125,0.947265625,0.021484375,0.751953125,0.49382713
0.380859375,0.123046875,0.052734375,0.669921875,0.654296875,0.232421875,0.240234375,0.732421875,0.662109375,0.783203125,0.580078125,0.623046875,0.361328125,0.947265625,0.888671875,0.240234375,0.4937498
0.533203125,0.798828125,0.736328125,0.251953125,0.845703125,0.599609375,0.298828125,0.048828125,0.978515625,0.216796875,0.603515625,0.138671875,0.880859375,0.783203125,0.021484375,0.240234375,0.16203842
0.880859375,0.623046875,0.552734375,0.169921875,0.154296875,0.732421875,0.740234375,0.232421875,0.162109375,0.283203125,0.080078125,0.123046875,0.861328125,0.447265625,0.388671875,0.251953125,0.10501785
0.033203125,0.623046875,0.552734375,0.169921875,0.154296875,0.732421875,0.740234375,0.232421875,0.162109375,0.283203125,0.080078125,0.123046875,0.861328125,0.447265625,0.388671875,0.251953125,0.10488339
0.880859375,0.298828125,0.552734375,0.169921875,0.154296875,0.732421875,0.740234375,0.232421875,0.162109375,0.283203125,0.080078125,0.123046875,0.861328125,0.447265625,0.388671875,0.251953125,0.10501785
0.880859375,0.623046875,0.236328125,0.169921875,0.154296875,0.732421875,0.740234375,0.232421875,0.162109375,0.283203125,0.080078125,0.123046875,0.861328125,0.447265625,0.388671875,0.251953125,0.105591685
0.880859375,0.623046875,0.552734375,0.751953125,0.154296875,0.732421875,0.740234375,0.232421875,0.162109375,0.283203125,0.080078125,0.123046875,0.861328125,0.447265625,0.388671875,0.251953125,0.55858636
0.880859375,0.623046875,0.552734375,0.169921875,0.345703125,0.732421875,0.740234375,0.232421875,0.162109375,0.283203125,0.080078125,0.123046875,0.861328125,0.447265625,0.388671875,0.251953125,0.105088405
0.880859375,0.623046875,0.552734375,0.169921875,0.154296875,0.099609375,0.740234375,0.232421875,0.162109375,0.283203125,0.080078125,0.123046875,0.861328125,0.447265625,0.388671875,0.251953125,0.18610737
0.880859375,0.623046875,0.552734375,0.169921875,0.154296875,0.732421875,0.798828125,0.232421875,0.162109375,0.283203125,0.080078125,0.123046875,0.861328125,0.447265625,0.388671875,0.251953125,0.10477819
0.880859375,0.623046875,0.552734375,0.169921875,0.154296875,0.732421875,0.740234375,0.548828125,0.162109375,0.283203125,0.080078125,0.123046875,0.861328125,0.447265625,0.388671875,0.251953125,0.10501785
0.880859375,0.623046875,0.552734375,0.169921875,0.154296875,0.732421875,0.740234375,0.232421875,0.478515625,0.283203125,0.080078125,0.123046875,0.861328125,0.447265625,0.388671875,0.251953125,0.10501785
0.880859375,0.623046875,0.552734375,0.169921875,0.154296875,0.732421875,0.740234375,0.232421875,0.162109375,0.716796875,0.080078125,0.123046875,0.861328125,0.447265625,0.388671875,0.251953125,0.10505234
0.880859375,0.623046875,0.552734375,0.169921875,0.154296875,0.732421875,0.740234375,0.232421875,0.162109375,0.283203125,0.103515625,0.123046875,0.861328125,0.447265625,0.388671875,0.251953125,0.104991235
0.880859375,0.623046875,0.552734375,0.169921875,0.154296875,0.732421875,0.740234375,0.232421875,0.162109375,0.283203125,0.080078125,0.638671875,0.861328125,0.447265625,0.388671875,0.251953125,0.10501785
0.880859375,0.623046875,0.552734375,0.169921875,0.154296875,0.732421875,0.740234375,0.232421875,0.162109375,0.283203125,0.080078125,0.123046875,0.380859375,0.447265625,0.388671875,0.251953125,0.10501785
0.880859375,0.623046875,0.552734375,0.169921875,0.154296875,0.732421875,0.740234375,0.232421875,0.162109375,0.283203125,0.080078125,0.123046875,0.861328125,0.283203125,0.388671875,0.251953125,0.10501785
0.880859375,0.623046875,0.552734375,0.169921875,0.154296875,0.732421875,0.740234375,0.232421875,0.162109375,0.283203125,0.080078125,0.123046875,0.861328125,0.447265625,0.521484375,0.251953125,0.10501785
0.880859375,0.623046875,0.552734375,0.169921875,0.154296875,0.732421875,0.740234375,0.232421875,0.162109375,0.283203125,0.080078125,0.123046875,0.861328125,0.447265625,0.388671875,0.740234375,0.10501785
0.033203125,0.298828125,0.236328125,0.751953125,0.345703125,0.099609375,0.798828125,0.548828125,0.478515625,0.716796875,0.103515625,0.638671875,0.380859375,0.283203125,0.521484375,0.740234375,0.63995403
0.630859375,0.373046875,0.302734375,0.919921875,0.404296875,0.982421875,0.490234375,0.482421875,0.412109375,0.033203125,0.330078125,0.373046875,0.111328125,0.697265625,0.138671875,0.501953125,0.6730285
0.283203125,0.373046875,0.302734375,0.919921875,0.404296875,0.982421875,0.490234375,0.482421875,0.412109375,0.033203125,0.330078125,0.373046875,0.111328125,0.697265625,0.138671875,0.501953125,0.67302305
0.630859375,0.548828125,0.302734375,0.919921875,0.404296875,0.982421875,0.490234375,0.482421875,0.412109375,0.033203125,0.330078125,0.373046875,0.111328125,0.697265625,0.138671875,0.501953125,0.6730285
0.630859375,0.373046875,0.486328125,0.919921875,0.404296875,0.982421875,0.490234375,0.482421875,0.412109375,0.033203125,0.330078125,0.373046875,0.111328125,0.697265625,0.138671875,0.501953125,0.67282176
0.630859375,0.373046875,0.302734375,0.001953125,0.404296875,0.982421875,0.490234375,0.482421875,0.412109375,0.033203125,0.330078125,0.373046875,0.111328125,0.697265625,0.138671875,0.501953125,-0.013040044
0.630859375,0.373046875,0.302734375,0.919921875,0.595703125,0.982421875,0.490234375,0.482421875,0.412109375,0.033203125,0.330078125,0.373046875,0.111328125,0.697265625,0.138671875,0.501953125,0.67299134
0.630859375,0.373046875,0.302734375,0.919921875,0.404296875,0.349609375,0.490234375,0.482421875,0.412109375,0.033203125,0.330078125,0.373046875,0.111328125,0.697265625,0.138671875,0.501953125,0.63141143
0.630859375,0.373046875,0.302734375,0.919921875,0.404296875,0.982421875,0.048828125,0.482421875,0.412109375,0.033203125,0.330078125,0.373046875,0.111328125,0.697265625,0.138671875,0.501953125,0.67281246
0.630859375,0.373046875,0.302734375,0.919921875,0.404296875,0.982421875,0.490234375,0.298828125,0.412109375,0.033203125,0.330078125,0.373046875,0.111328125,0.697265625,0.138671875,0.501953125,0.6730285
0.630859375,0.373046875,0.302734375,0.919921875,0.404296875,0.982421875,0.490234375,0.482421875,0.728515625,0.033203125,0.330078125,0.373046875,0.111328125,0.697265625,0.138671875,0.501953125,0.6730285
0.630859375,0.373046875,0.302734375,0.919921875,0.404296875,0.982421875,0.490234375,0.482421875,0.412109375,0.966796875,0.330078125,0.373046875,0.111328125,0.697265625,0.138671875,0.501953125,0.6732934
0.630859375,0.373046875,0.302734375,0.919921875,0.404296875,0.982421875,0.490234375,0.482421875,0.412109375,0.033203125,0.853515625,0.373046875,0.111328125,0.697265625,0.138671875,0.501953125,0.658377
0.630859375,0.373046875,0.302734375,0.919921875,0.404296875,0.982421875,0.490234375,0.482421875,0.412109375,0.033203125,0.330078125,0.888671875,0.111328125,0.697265625,0.138671875,0.501953125,0.6727727
0.630859375,0.373046875,0.302734375,0.919921875,0.404296875,0.982421875,0.490234375,0.482421875,0.412109375,0.033203125,0.330078125,0.373046875,0.630859375,0.697265625,0.138671875,0.501953125,0.6730285
0.630859375,0.373046875,0.302734375,0.919921875,0.404296875,0.982421875,0.490234375,0.482421875,0.412109375,0.033203125,0.330078125,0.373046875,0.111328125,0.033203125,0.138671875,0.501953125,0.6728864
0.630859375,0.373046875,0.302734375,0.919921875,0.404296875,0.982421875,0.490234375,0.482421875,0.412109375,0.033203125,0.330078125,0.373046875,0.111328125,0.697265625,0.271484375,0.501953125,0.6730285
0.630859375,0.373046875,0.302734375,0.919921875,0.404296875,0.982421875,0.490234375,0.482421875,0.412109375,0.033203125,0.330078125,0.373046875,0.111328125,0.697265625,0.138671875,0.490234375,0.6730285
0.283203125,0.548828125,0.486328125,0.001953125,0.595703125,0.349609375,0.048828125,0.298828125,0.728515625,0.966796875,0.853515625,0.888671875,0.630859375,0.033203125,0.271484375,0.490234375,-0.06990715
0.130859375,0.873046875,0.802734375,0.419921875,0.904296875,0.482421875,0.990234375,0.982421875,0.912109375,0.533203125,0.830078125,0.873046875,0.611328125,0.197265625,0.638671875,0.001953125,0.28030303
0.783203125,0.873046875,0.802734375,0.419921875,0.904296875,0.482421875,0.990234375,0.982421875,0.912109375,0.533203125,0.830078125,0.873046875,0.611328125,0.197265625,0.638671875,0.001953125,0.28032196
0.130859375,0.048828125,0.802734375,0.419921875,0.904296875,0.482421875,0.990234375,0.982421875,0.912109375,0.533203125,0.830078125,0.873046875,0.611328125,0.197265625,0.638671875,0.001953125,0.28030303
0.130859375,0.873046875,0.986328125,0.419921875,0.904296875,0.482421875,0.990234375,0.982421875,0.912109375,0.533203125,0.830078125,0.873046875,0.611328125,0.197265625,0.638671875,0.001953125,0.2802942
0.130859375,0.873046875,0.802734375,0.501953125,0.904296875,0.482421875,0.990234375,0.982421875,0.912109375,0.533203125,0.830078125,0.873046875,0.611328125,0.197265625,0.638671875,0.001953125,0.34610617
