Feature,Mean_SHAP,Abs_Mean_SHAP,Mean_Abs_SHAP
Pd_C103,-7.994489193774373e-07,7.994489193774373e-07,3.5114339646544324e-06
Pd_C301,0.0,0.0,0.0
HX100,2.430917980250736e-05,2.430917980250736e-05,0.0005872697691928709
T_E110,-8.564208323522084e-05,8.564208323522084e-05,0.19108564220214438
L_R100,3.0701334565114785e-05,3.0701334565114785e-05,4.203577181347508e-05
D_R100,0.0012314740047094192,0.0012314740047094192,0.021124945244710508
F_S220,-4.340107402100074e-06,4.340107402100074e-06,0.00038421900912449206
T_E120,0.0,0.0,0.0
P_V100,0.0,0.0,0.0
Pd_P150,-6.725480997190133e-05,6.725480997190133e-05,7.476894155497366e-05
HX150,0.000712698532229572,0.000712698532229572,0.004404658484085623
HX220,-3.577476022814201e-05,3.577476022814201e-05,3.590581541802955e-05
T_E220,0.0,0.0,0.0
Rr_D200,1.8329335258101093e-06,1.8329335258101093e-06,3.605049873331629e-06
Pc_D200,-2.1320735694379363e-07,2.1320735694379363e-07,2.1320735694379363e-07
F_S220.1,0.0,0.0,0.0
