Feature,Total_Effect (ST),First_Order (S1)
Pd_C103,0.044123561914599777,0.04280128241779269
Pd_C301,0.18943483772914463,0.19076440712998052
HX100,0.22516298681583108,0.20314343322891848
T_E110,0.08977523720152027,0.0781353592419163
L_R100,0.021888752861968418,0.011176163786735218
D_R100,0.003515082285716796,0.0029943463787631425
F_S220,0.046296940698618415,0.027187608518061197
T_E120,0.02034825882815094,0.01639031889225001
P_V100,0.010217993144227493,0.007842936842684714
Pd_P150,0.042630878364930194,0.035348797439136596
HX150,0.024194499294173912,0.016463590916490942
HX220,0.007233067372008986,-0.0020069367842810524
T_E220,0.06689035477218944,0.06690410986868651
Rr_D200,0.2205534155789146,0.2134764113049254
Pc_D200,0.03532404435037173,0.026432633323425218
F_S220.1,0.005299805713446667,0.005172155587004037
