Feature,S1,S1_conf,S1_CI_lower,S1_CI_upper,ST,ST_conf,ST_CI_lower,ST_CI_upper,S2_sum
Pd_C103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pd_C301,0.002808527618834848,0.012410870552421705,-0.009602342933586857,0.015219398171256553,0.004521376837376759,0.0020896015854057898,0.002431775251970969,0.0066109784227825485,0.0
HX100,0.0011454789555640835,0.004528552117763211,-0.0033830731621991277,0.005674031073327295,0.0008253169463727233,0.000335462159034341,0.0004898547873383823,0.0011607791054070644,0.0
T_E110,0.002221992870839828,0.01152886493292905,-0.009306872062089222,0.013750857803768878,0.004342241066771371,0.002065997995977644,0.0022762430707937266,0.006408239062749015,0.0
L_R100,0.00010624290369701104,0.0007048875675594378,-0.0005986446638624268,0.0008111304712564488,3.5264292049019015e-05,1.5584340113747135e-05,1.967995193527188e-05,5.084863216276615e-05,0.0
D_R100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F_S220,0.000934646493389631,0.007389151977346478,-0.006454505483956847,0.008323798470736108,0.00265704266826063,0.0012737808650439848,0.0013832618032166453,0.003930823533304615,0.0
T_E120,1.2857708598229129e-05,2.1355573877852064e-05,-8.497865279622935e-06,3.4213282476081194e-05,8.701200082374375e-09,4.296045715237131e-09,4.405154367137244e-09,1.2997245797611506e-08,0.0
P_V100,-0.002472776286480268,0.005677608800261939,-0.008150385086742207,0.0032048325137816708,0.0010225839695325344,0.00044342483687307484,0.0005791591326594596,0.0014660088064056094,0.0
Pd_P150,0.9548506291950445,0.3743105722466286,0.5805400569484158,1.3291612014416732,0.9776091292678579,0.10647941579782705,0.8711297134700309,1.084088545065685,0.0
HX150,0.03990471493960793,0.03748758357731712,0.0024171313622908044,0.07739229851692506,0.03765006317668057,0.016491374656646622,0.02115868852003395,0.05414143783332719,0.0
HX220,8.888158422593439e-05,0.001670291864931794,-0.0015814102807058595,0.0017591734491577283,7.963654928080989e-05,3.508481931392045e-05,4.455172996688944e-05,0.00011472136859473034,0.0
T_E220,-3.6088358326563396e-06,2.2903412460195627e-05,-2.6512248292851966e-05,1.9294576627539288e-05,2.3419086342231834e-08,1.058849176555816e-08,1.2830594576673675e-08,3.400757810778999e-08,0.0
Rr_D200,0.003296093828425349,0.01620904402871594,-0.012912950200290593,0.01950513785714129,0.00970968688718041,0.004611892852598905,0.0050977940345815044,0.014321579739779315,0.0
Pc_D200,0.0008529409213212099,0.0027846457196171576,-0.0019317047982959478,0.0036375866409383674,0.00025044590060255273,0.0001126518009144018,0.0001377940996881509,0.00036309770151695455,0.0
F_S220.1,8.239173132861734e-10,3.279810602607779e-09,-2.4558932893216055e-09,4.103727915893952e-09,1.4382245696754108e-15,1.0723477082971938e-15,3.6587686137821703e-16,2.5105722779726047e-15,0.0
