Feature,Total_Effect (ST),First_Order (S1)
Pd_C103,0.009161653364307307,0.008146469573029176
Pd_C301,0.05042689433322013,0.04915132686033966
HX100,0.012400602277301593,0.0033549445035749932
T_E110,0.8003930622618703,0.7982231532124406
L_R100,0.014828212989181749,0.0029258040519825257
D_R100,0.0005487991051667186,-0.00013290872066205805
F_S220,0.005799266002217642,-0.001425440406926202
T_E120,0.005432745250878875,0.0043556986285633505
P_V100,0.0005185588064952824,-0.00096132450486724
Pd_P150,0.002688377004116862,0.004781650974701432
HX150,0.026234739760166752,0.022149409816416995
HX220,0.017383705000216146,0.01361020964711507
T_E220,0.007579725265628076,0.004876441151317488
Rr_D200,0.059101511914128005,0.05640800276920712
Pc_D200,0.014563912458948008,0.008489309791073993
F_S220.1,0.0012801355372761777,0.0007021976652820858
