Region_Index,Region_Label,x0_Current density (A/cm2),x1_Voltage (V),x2_Faradaic efficiency,x3_CO conversion,x4_Crossover rate,x5_Capture energy (MJ/kgCO2),x6_Electricity price (USD/kWh),x7_Membrane cost (USD/m2)
0,0.10<x0<0.58 & 0.10<x2<0.34,5.9903426,0.38706353,4.605631,0.754179,0.0016806533,0.0030959265,1.055755,0.018619396
1,0.10<x0<0.58 & 0.34<x2<0.59,6.477965,0.42379034,3.2673347,0.7451754,0.0018890358,0.0033545413,1.148359,0.020386107
2,0.10<x0<0.58 & 0.59<x2<0.82,6.6044474,0.43183956,2.1899455,0.765161,0.0019157283,0.0033541769,1.1663605,0.020548236
3,0.10<x0<0.58 & 0.82<x2<0.90,6.546156,0.38573205,1.6175939,0.94522345,0.0018132807,0.0030304869,1.1371976,0.022390898
4,0.58<x0<0.83 & 0.10<x2<0.34,4.2643747,0.76178044,8.976817,1.3406969,0.0035451846,0.0057824193,2.0620089,0.036755867
5,0.58<x0<0.83 & 0.34<x2<0.59,4.7106714,0.81242085,6.478946,1.6316332,0.003532877,0.0064552957,2.2812414,0.04086557
6,0.58<x0<0.83 & 0.59<x2<0.82,5.004077,0.87269926,4.531782,1.7472713,0.004013449,0.006896415,2.421883,0.041097097
7,0.58<x0<0.83 & 0.82<x2<0.90,5.371027,1.0258198,3.6465662,1.8827283,0.0044065397,0.007289959,2.5660682,0.04477851
8,0.83<x0<0.90 & 0.10<x2<0.34,3.282869,0.8372627,9.501654,1.6013755,0.0033995302,0.0064044865,2.1589556,0.046011675
9,0.83<x0<0.90 & 0.34<x2<0.59,3.8278472,0.940602,7.189251,1.6187314,0.004657839,0.005473003,2.5265777,0.03220777
10,0.83<x0<0.90 & 0.59<x2<0.82,4.1747293,1.0259929,5.1989007,1.7619356,0.0043968777,0.008486363,2.75338,0.053757034
11,0.83<x0<0.90 & 0.82<x2<0.90,4.401498,1.0885173,4.1672606,1.7744792,0.0039108433,0.008490856,2.8946586,0.064625934
