n,theta,r,t,Y
0.0029296875,0.2509765625,0.9541015625,0.9912109375,0.13029426
0.4580078125,0.2509765625,0.9541015625,0.9912109375,0.20249107
0.0029296875,0.5654296875,0.9541015625,0.9912109375,0.31019303
0.0029296875,0.2509765625,0.6142578125,0.9912109375,0.13707452
0.0029296875,0.2509765625,0.9541015625,0.9091796875,0.14744245
0.4580078125,0.5654296875,0.6142578125,0.9091796875,0.4063183
0.5029296875,0.7509765625,0.4541015625,0.4912109375,0.4504608
0.9580078125,0.7509765625,0.4541015625,0.4912109375,0.46408165
0.5029296875,0.0654296875,0.4541015625,0.4912109375,0.25352564
0.5029296875,0.7509765625,0.1142578125,0.4912109375,0.37350437
0.5029296875,0.7509765625,0.4541015625,0.4091796875,0.45755282
0.9580078125,0.0654296875,0.1142578125,0.4091796875,0.19728212
0.7529296875,0.0009765625,0.7041015625,0.7412109375,0.2790166
0.7080078125,0.0009765625,0.7041015625,0.7412109375,0.27763623
0.7529296875,0.3154296875,0.7041015625,0.7412109375,0.29935485
0.7529296875,0.0009765625,0.8642578125,0.7412109375,0.27562985
0.7529296875,0.0009765625,0.7041015625,0.1591796875,0.33105245
0.7080078125,0.3154296875,0.8642578125,0.1591796875,0.34662354
0.2529296875,0.5009765625,0.2041015625,0.2412109375,0.33932722
0.2080078125,0.5009765625,0.2041015625,0.2412109375,0.3320106
0.2529296875,0.8154296875,0.2041015625,0.2412109375,0.37474152
0.2529296875,0.5009765625,0.3642578125,0.2412109375,0.37776735
0.2529296875,0.5009765625,0.2041015625,0.6591796875,0.30256814
0.2080078125,0.8154296875,0.3642578125,0.6591796875,0.36910596
0.3779296875,0.1259765625,0.3291015625,0.1162109375,0.23105522
0.0830078125,0.1259765625,0.3291015625,0.1162109375,0.18353878
0.3779296875,0.6904296875,0.3291015625,0.1162109375,0.42691824
0.3779296875,0.1259765625,0.9892578125,0.1162109375,0.28040987
0.3779296875,0.1259765625,0.3291015625,0.0341796875,0.23347336
0.0830078125,0.6904296875,0.9892578125,0.0341796875,0.43117458
0.8779296875,0.6259765625,0.8291015625,0.6162109375,0.48965055
0.5830078125,0.6259765625,0.8291015625,0.6162109375,0.480686
0.8779296875,0.1904296875,0.8291015625,0.6162109375,0.29770434
0.8779296875,0.6259765625,0.4892578125,0.6162109375,0.45799613
0.8779296875,0.6259765625,0.8291015625,0.5341796875,0.49884686
0.5830078125,0.1904296875,0.4892578125,0.5341796875,0.26628163
0.6279296875,0.3759765625,0.0791015625,0.3662109375,0.24702774
