P3HT content (%),D1 content (%),D2 content (%),D6 content (%),D8 content (%),Y
0.0234375,0.3984375,0.8203125,0.8359375,0.6484375,0.3232798
0.4453125,0.3984375,0.8203125,0.8359375,0.6484375,0.23258457
0.0234375,0.6640625,0.8203125,0.8359375,0.6484375,0.41645777
0.0234375,0.3984375,0.2109375,0.8359375,0.6484375,0.31391153
0.0234375,0.3984375,0.8203125,0.7421875,0.6484375,0.3238134
0.0234375,0.3984375,0.8203125,0.8359375,0.1171875,0.28662872
0.4453125,0.6640625,0.2109375,0.7421875,0.1171875,0.2802768
0.5234375,0.8984375,0.3203125,0.3359375,0.1484375,0.2996126
0.9453125,0.8984375,0.3203125,0.3359375,0.1484375,0.26080212
0.5234375,0.1640625,0.3203125,0.3359375,0.1484375,0.066094026
0.5234375,0.8984375,0.7109375,0.3359375,0.1484375,0.40263304
0.5234375,0.8984375,0.3203125,0.2421875,0.1484375,0.30635908
0.5234375,0.8984375,0.3203125,0.3359375,0.6171875,0.34521472
0.9453125,0.1640625,0.7109375,0.2421875,0.6171875,0.18265249
0.7734375,0.1484375,0.5703125,0.5859375,0.3984375,0.1759429
0.6953125,0.1484375,0.5703125,0.5859375,0.3984375,0.17654178
0.7734375,0.9140625,0.5703125,0.5859375,0.3984375,0.41696623
0.7734375,0.1484375,0.9609375,0.5859375,0.3984375,0.011729844
0.7734375,0.1484375,0.5703125,0.4921875,0.3984375,0.17723683
0.7734375,0.1484375,0.5703125,0.5859375,0.8671875,0.18929312
0.6953125,0.9140625,0.9609375,0.4921875,0.8671875,0.26799622
0.2734375,0.6484375,0.0703125,0.0859375,0.8984375,0.440351
0.1953125,0.6484375,0.0703125,0.0859375,0.8984375,0.4422915
0.2734375,0.4140625,0.0703125,0.0859375,0.8984375,0.3578712
0.2734375,0.6484375,0.4609375,0.0859375,0.8984375,0.43844175
0.2734375,0.6484375,0.0703125,0.9921875,0.8984375,0.44922453
0.2734375,0.6484375,0.0703125,0.0859375,0.3671875,0.42962125
0.1953125,0.4140625,0.4609375,0.9921875,0.3671875,0.35604614
0.3984375,0.0234375,0.4453125,0.2109375,0.7734375,0.36210582
0.3203125,0.0234375,0.4453125,0.2109375,0.7734375,0.39514107
0.3984375,0.7890625,0.4453125,0.2109375,0.7734375,0.524204
0.3984375,0.0234375,0.8359375,0.2109375,0.7734375,0.26380146
0.3984375,0.0234375,0.4453125,0.3671875,0.7734375,0.34960583
0.3984375,0.0234375,0.4453125,0.2109375,0.7421875,0.37095335
0.3203125,0.7890625,0.8359375,0.3671875,0.7421875,0.45528245
0.8984375,0.5234375,0.9453125,0.7109375,0.2734375,0.049962536
0.8203125,0.5234375,0.9453125,0.7109375,0.2734375,0.049990848
0.8984375,0.2890625,0.9453125,0.7109375,0.2734375,-0.005508624
