CsPbI,FAPbI,MAPbI,Y
0.046875,0.265625,0.703125,0.6718295
0.546875,0.265625,0.703125,0.6718127
0.046875,0.140625,0.703125,0.6718295
0.046875,0.265625,0.921875,0.87852323
0.546875,0.140625,0.921875,0.8785064
0.546875,0.765625,0.203125,0.23051238
0.046875,0.765625,0.203125,0.23052916
0.546875,0.640625,0.203125,0.23050994
0.546875,0.765625,0.421875,0.38660866
0.046875,0.640625,0.421875,0.386623
0.796875,0.015625,0.953125,0.9026851
0.796875,0.015625,0.953125,0.9026851
0.796875,0.890625,0.953125,0.90276515
0.796875,0.015625,0.171875,0.21632935
0.796875,0.890625,0.171875,0.21640939
0.296875,0.515625,0.453125,0.41548085
0.296875,0.515625,0.453125,0.41548085
0.296875,0.390625,0.453125,0.41546485
0.296875,0.515625,0.671875,0.6392009
0.296875,0.390625,0.671875,0.6391849
0.421875,0.140625,0.078125,0.18853277
0.421875,0.140625,0.078125,0.18853277
0.421875,0.265625,0.078125,0.18853277
0.421875,0.140625,0.796875,0.7666909
0.421875,0.265625,0.796875,0.7666909
0.921875,0.640625,0.578125,0.5405844
0.921875,0.640625,0.578125,0.5405844
0.921875,0.765625,0.578125,0.5405868
0.921875,0.640625,0.296875,0.28607374
0.921875,0.765625,0.296875,0.28607616
0.671875,0.390625,0.328125,0.30863047
0.171875,0.390625,0.328125,0.30865222
0.671875,0.515625,0.328125,0.30864647
0.671875,0.390625,0.046875,0.18432514
0.171875,0.515625,0.046875,0.18436292
0.171875,0.890625,0.828125,0.79667497
0.671875,0.890625,0.828125,0.7966532
0.171875,0.015625,0.828125,0.796595
0.171875,0.890625,0.546875,0.5082596
0.671875,0.015625,0.546875,0.50815785
0.234375,0.078125,0.265625,0.26538327
0.984375,0.078125,0.265625,0.26535732
0.234375,0.703125,0.265625,0.26546973
0.234375,0.078125,0.734375,0.70412534
0.984375,0.703125,0.734375,0.70418584
0.734375,0.578125,0.765625,0.735871
0.484375,0.578125,0.765625,0.73588216
0.734375,0.203125,0.765625,0.7357881
0.734375,0.578125,0.234375,0.24688104
0.484375,0.203125,0.234375,0.24680926
0.984375,0.328125,0.015625,0.18260846
0.734375,0.328125,0.015625,0.18261126
0.984375,0.453125,0.015625,0.18264258
0.984375,0.328125,0.484375,0.44543168
0.734375,0.453125,0.484375,0.4454686
0.484375,0.828125,0.515625,0.47648025
0.234375,0.828125,0.515625,0.47649226
0.484375,0.953125,0.515625,0.47648126
0.484375,0.828125,0.984375,0.9251321
0.234375,0.953125,0.984375,0.9251451
0.359375,0.453125,0.890625,0.8527461
0.109375,0.453125,0.890625,0.8527461
0.359375,0.828125,0.890625,0.8527602
0.359375,0.453125,0.609375,0.5733422
0.109375,0.828125,0.609375,0.5733563
0.859375,0.953125,0.390625,0.35906878
0.609375,0.953125,0.390625,0.35907394
0.859375,0.328125,0.390625,0.35901958
0.859375,0.953125,0.109375,0.19539218
0.609375,0.328125,0.109375,0.1953481
0.609375,0.203125,0.640625,0.6061809
0.359375,0.203125,0.640625,0.6062007
0.609375,0.078125,0.640625,0.6061809
0.609375,0.203125,0.359375,0.33294854
0.359375,0.078125,0.359375,0.3329683
0.109375,0.703125,0.140625,0.2047027
0.859375,0.703125,0.140625,0.20467779
0.109375,0.578125,0.140625,0.20469919
0.109375,0.703125,0.859375,0.8253903
0.859375,0.578125,0.859375,0.8253618
0.078125,0.234375,0.796875,0.76669455
0.140625,0.234375,0.796875,0.76669455
0.078125,0.421875,0.796875,0.76676434
0.078125,0.234375,0.078125,0.1885364
0.140625,0.421875,0.078125,0.1886062
0.578125,0.734375,0.296875,0.28608277
0.640625,0.734375,0.296875,0.28608036
0.578125,0.921875,0.296875,0.28608477
0.578125,0.734375,0.578125,0.5405934
0.640625,0.921875,0.578125,0.54059297
0.828125,0.484375,0.546875,0.50822353
0.390625,0.484375,0.546875,0.50824815
0.828125,0.671875,0.546875,0.5082321
0.828125,0.484375,0.828125,0.7966389
0.390625,0.671875,0.828125,0.79667205
0.328125,0.984375,0.046875,0.18437265
0.890625,0.984375,0.046875,0.18434742
0.328125,0.171875,0.046875,0.18428326
0.328125,0.984375,0.328125,0.30867797
0.890625,0.171875,0.328125,0.30856335
0.453125,0.359375,0.421875,0.386584
0.765625,0.359375,0.421875,0.38656875
0.453125,0.046875,0.421875,0.3865295
0.453125,0.359375,0.203125,0.23048772
0.765625,0.046875,0.203125,0.230418
0.953125,0.859375,0.921875,0.878586
0.265625,0.859375,0.921875,0.87861174
0.953125,0.546875,0.921875,0.87857896
0.953125,0.859375,0.703125,0.6718923
0.265625,0.546875,0.703125,0.671911
0.703125,0.109375,0.171875,0.21632227
0.515625,0.109375,0.171875,0.21633008
0.703125,0.796875,0.171875,0.21641013
0.703125,0.109375,0.953125,0.902678
0.515625,0.796875,0.953125,0.90277374
0.203125,0.609375,0.671875,0.63920534
0.015625,0.609375,0.671875,0.63920534
0.203125,0.296875,0.671875,0.63913625
0.203125,0.609375,0.453125,0.4154853
0.015625,0.296875,0.453125,0.4154162
0.140625,0.421875,0.234375,0.24689105
0.328125,0.421875,0.234375,0.24689105
0.140625,0.984375,0.234375,0.24691065
0.140625,0.421875,0.265625,0.26545307
0.328125,0.984375,0.265625,0.26547268
0.640625,0.921875,0.734375,0.7041935
0.828125,0.921875,0.734375,0.7041898
0.640625,0.484375,0.734375,0.7041818
0.640625,0.921875,0.765625,0.73587936
0.828125,0.484375,0.765625,0.7358639
0.890625,0.171875,0.484375,0.44539243
0.078125,0.171875,0.484375,0.44541764
0.890625,0.234375,0.484375,0.44539243
0.890625,0.171875,0.515625,0.47637883
0.078125,0.234375,0.515625,0.47640404
0.390625,0.671875,0.984375,0.9251417
0.578125,0.671875,0.984375,0.9251232
0.390625,0.734375,0.984375,0.9251429
0.390625,0.671875,0.015625,0.18268023
0.578125,0.734375,0.015625,0.18266298
0.265625,0.046875,0.609375,0.57326806
0.703125,0.046875,0.609375,0.5732455
0.265625,0.609375,0.609375,0.57335216
0.265625,0.046875,0.390625,0.3590045
0.703125,0.609375,0.390625,0.35906607
0.765625,0.546875,0.109375,0.19538568
0.203125,0.546875,0.109375,0.19540937
0.765625,0.109375,0.109375,0.19530419
0.765625,0.546875,0.890625,0.8527298
0.203125,0.109375,0.890625,0.852672
0.515625,0.296875,0.859375,0.8253041
0.953125,0.296875,0.859375,0.82529306
0.515625,0.359375,0.859375,0.8253436
0.515625,0.296875,0.640625,0.606201
0.953125,0.359375,0.640625,0.6062294
0.015625,0.796875,0.359375,0.33305615
0.453125,0.796875,0.359375,0.33304772
0.015625,0.859375,0.359375,0.3330568
0.015625,0.796875,0.140625,0.20470412
0.453125,0.859375,0.140625,0.20469631
