,Pd_C103,Pd_C301,HX100,T_E110,L_R100,D_R100,F_S220,T_E120,P_V100,Pd_P150,HX150,HX220,T_E220,Rr_D200,Pc_D200,F_S220.1
Pd_C103,0.0,-0.0008818841549514229,-0.0008771851977412258,-0.0008886762373669392,-0.0008727050831027276,-0.0008832232332408967,-0.0008784426829028534,-0.0008747444925384431,-0.0008759142074483721,-0.0008840224550836753,-0.0008823964597974826,-0.0008734277512437081,-0.0008899787961207674,-0.0008700006749639357,-0.0008761806407822384,-0.0008759142074483721
Pd_C301,-0.0008818841549514229,0.0,-0.0008964108672829241,-0.0007476747909070608,-0.0008951021409430909,-0.0008637932797207998,-0.0008773019257376968,-0.0008715337807936404,-0.0008759142074483721,-0.0008351018220663229,-0.0008401660019092314,-0.0008408703375249675,-0.0008811476876169828,-0.0008686001719048404,-0.0008183925091648661,-0.0008759142074483721
HX100,-0.0008771851977412258,-0.0008964108672829241,0.0,-0.0006520000290489911,-0.0008722612634149795,-0.0008658592749120015,-0.0008789468174758042,-0.0008712816926268105,-0.0008759142074483721,-0.0009146771354760689,-0.0008672134586923615,-0.000875293676925428,-0.0009715141823964208,-0.0008793389271528802,-0.0008746109772922339,-0.0008759142074483721
T_E110,-0.0008886762373669392,-0.0007476747909070608,-0.0006520000290489911,0.0,-0.0009067026256455038,-0.0007588157092913325,-0.0008963729932977648,-0.000854695664753751,-0.0008759142074483721,-0.0006766538196890504,-0.0007300437919524065,-0.000994648642848115,-0.0005734829903354993,-0.0007788634869333552,-0.0008251423758963731,-0.0008759142074483721
L_R100,-0.0008727050831027276,-0.0008951021409430909,-0.0008722612634149795,-0.0009067026256455038,0.0,-0.0008758935428640677,-0.000875800383907865,-0.0008789189824617093,-0.0008759142074483721,-0.0008816554002082916,-0.0009031779859901822,-0.0008947920486685867,-0.0008702917173319752,-0.0008651201923567568,-0.0008811675226425418,-0.0008759142074483721
D_R100,-0.0008832232332408967,-0.0008637932797207998,-0.0008658592749120015,-0.0007588157092913325,-0.0008758935428640677,0.0,-0.0008751385700187191,-0.0008739507756908949,-0.0008759142074483721,-0.0008757443268945135,-0.0008697970289559222,-0.0009191452061874934,-0.0008616963284426975,-0.0008503345540107248,-0.0008588649209047213,-0.0008759142074483721
F_S220,-0.0008784426829028534,-0.0008773019257376968,-0.0008789468174758042,-0.0008963729932977648,-0.000875800383907865,-0.0008751385700187191,0.0,-0.000878562511779194,-0.0008759142074483721,-0.0008852040256621531,-0.000884642016588949,-0.0008754163649950355,-0.0008758850600866832,-0.0008842545803611861,-0.000876393840297471,-0.0008759142074483721
T_E120,-0.0008747444925384431,-0.0008715337807936404,-0.0008712816926268105,-0.000854695664753751,-0.0008789189824617093,-0.0008739507756908949,-0.000878562511779194,0.0,-0.0008759142074483721,-0.0008620891114564545,-0.0008707677544722219,-0.0008729529089714982,-0.0008814479585005804,-0.000867320144557357,-0.0008752046948399208,-0.0008759142074483721
P_V100,-0.0008759142074483721,-0.0008759142074483721,-0.0008759142074483721,-0.0008759142074483721,-0.0008759142074483721,-0.0008759142074483721,-0.0008759142074483721,-0.0008759142074483721,0.0,-0.0008759142074483721,-0.0008759142074483721,-0.0008759142074483721,-0.0008759142074483721,-0.0008759142074483721,-0.0008759142074483721,-0.0008759142074483721
Pd_P150,-0.0008840224550836753,-0.0008351018220663229,-0.0009146771354760689,-0.0006766538196890504,-0.0008816554002082916,-0.0008757443268945135,-0.0008852040256621531,-0.0008620891114564545,-0.0008759142074483721,0.0,-0.0008066813416075196,-0.0008181114539346423,-0.0007603214597401346,-0.0008709376379471938,-0.000857607172816813,-0.0008759142074483721
