Feature,Total_Effect (ST),First_Order (S1)
Pd_C103,0.0016294077281256195,0.0015888412058248185
Pd_C301,0.00026054940456681056,0.00024181280116081938
HX100,0.05598484288696692,0.055866606535174106
T_E110,0.9262536526905956,0.9264125843517793
L_R100,1.1888952155379605e-05,1.8601165653186142e-05
D_R100,7.014307710099327e-06,3.023140680701517e-05
F_S220,0.0007899704377735417,0.0007498691364166512
T_E120,4.1175203055278195e-06,7.945141538210047e-06
P_V100,6.489047717539838e-07,1.840863086681288e-06
Pd_P150,0.0016294922664979942,0.0016021567280352477
HX150,0.005334859866785838,0.005315162043258757
HX220,0.003099508702879675,0.0028952418198458737
T_E220,0.0017241638059432387,0.0017490501391366823
Rr_D200,0.0010167953789112674,0.0010541744111367897
Pc_D200,0.0016799261584693932,0.0017446625054936859
F_S220.1,2.2816256023930356e-07,-4.934244076056755e-07
