Feature,Total_Effect (ST),First_Order (S1)
Pd_C103,0.0014822754106785894,0.0014787186345884406
Pd_C301,0.0003689084311355294,0.00031121975123831245
HX100,0.058109341015473735,0.05796611382231333
T_E110,0.9239353226275715,0.9237090653347083
L_R100,1.4500088754747946e-05,3.8020242638746835e-05
D_R100,0.00011587827769706133,0.00013607904842775526
F_S220,0.0010975610587952323,0.001198974284466604
T_E120,1.841702669828422e-06,7.269339158434861e-06
P_V100,1.0326545958727565e-08,5.853976603575285e-07
Pd_P150,0.0013621046667903574,0.0011624465444822893
HX150,0.004767464642639993,0.004856321839248406
HX220,0.002223702437057738,0.001963456690545697
T_E220,0.001967331629114046,0.0021895234790399267
Rr_D200,0.0008148487126840065,0.0008541920101328927
Pc_D200,0.002643565293356689,0.002500935532286133
F_S220.1,2.911113115083469e-08,7.318104185356997e-06
