,Pd_C103,Pd_C301,HX100,T_E110,L_R100,D_R100,F_S220,T_E120,P_V100,Pd_P150,HX150,HX220,T_E220,Rr_D200,Pc_D200,F_S220.1
Pd_C103,0.0,-0.003953881207311711,-0.0039050022377156504,-0.0040519719931776995,-0.003991372825839211,-0.003977052178996147,-0.003961463310291295,-0.003970905330237358,-0.003930619265792828,-0.004485137005060032,-0.004004123199080888,-0.003928932348431011,-0.003921641117128523,-0.004000918027210376,-0.003936775460684699,-0.003930619265792828
Pd_C301,-0.003953881207311711,0.0,-0.003359152019502801,-0.0038657077394195455,-0.003853848619331129,-0.004025155052077948,-0.0038990410785390978,-0.004054107692658001,-0.003930619265792828,0.0022230561298838434,-0.01516041853839522,-0.003995138325833703,-0.003698526465129373,-0.003599977465887492,-0.00542778558591678,-0.003930619265792828
HX100,-0.0039050022377156504,-0.003359152019502801,0.0,-0.0031960190275091348,-0.003635501130423846,-0.003793559525576826,-0.003924347011346088,-0.003945241885739626,-0.003930619265792828,-0.0006112026295453254,-0.0030437701727559032,-0.0039212497404090205,-0.004360472627329481,-0.0035454076085298654,-0.00337928174338208,-0.003930619265792828
T_E110,-0.0040519719931776995,-0.0038657077394195455,-0.0031960190275091348,0.0,-0.0038332109591437823,-0.003436293843845236,-0.0040830596143574946,-0.003901276408941475,-0.003930619265792828,0.061187542416941174,-0.006746769655321996,-0.004167593240240635,-0.0036484253552891677,-0.0038038158246675884,-0.0038769510597303713,-0.003930619265792828
L_R100,-0.003991372825839211,-0.003853848619331129,-0.003635501130423846,-0.0038332109591437823,0.0,-0.003967418005550809,-0.003926328733709929,-0.003932853507396254,-0.003930619265792828,-0.004855506324003482,-0.0017348737899606033,-0.003917244411467124,-0.004001895189921156,-0.003941265431772309,-0.003881293116297569,-0.003930619265792828
D_R100,-0.003977052178996147,-0.004025155052077948,-0.003793559525576826,-0.003436293843845236,-0.003967418005550809,0.0,-0.003947334164874042,-0.0038115553005067366,-0.003930619265792828,-0.007814690353740468,-0.005498805264626781,-0.003936637015946879,-0.003926015827096242,-0.00355480839425781,-0.003946838617192622,-0.003930619265792828
F_S220,-0.003961463310291295,-0.0038990410785390978,-0.003924347011346088,-0.0040830596143574946,-0.003926328733709929,-0.003947334164874042,0.0,-0.003999454780967912,-0.003930619265792828,-0.005827646804959397,-0.004192965156745179,-0.003924739041034412,-0.004165639239312773,-0.004542808102650807,-0.003909834144120251,-0.003930619265792828
T_E120,-0.003970905330237358,-0.004054107692658001,-0.003945241885739626,-0.003901276408941475,-0.003932853507396254,-0.0038115553005067366,-0.003999454780967912,0.0,-0.003930619265792828,-0.013020829131269321,-0.009716506106345755,-0.0039437567384773475,-0.0039025302008695254,-0.00396231895129399,-0.0039016766905474345,-0.003930619265792828
P_V100,-0.003930619265792828,-0.003930619265792828,-0.003930619265792828,-0.003930619265792828,-0.003930619265792828,-0.003930619265792828,-0.003930619265792828,-0.003930619265792828,0.0,-0.003930619265792828,-0.003930619265792828,-0.003930619265792828,-0.003930619265792828,-0.003930619265792828,-0.003930619265792828,-0.003930619265792828
Pd_P150,-0.004485137005060032,0.0022230561298838434,-0.0006112026295453254,0.061187542416941174,-0.004855506324003482,-0.007814690353740468,-0.005827646804959397,-0.013020829131269321,-0.003930619265792828,0.0,-0.103985799125797,-0.0036385174022024783,-0.004508605153032755,0.00740518266271145,0.003998447352776229,-0.003930619265792828
HX150,-0.004004123199080888,-0.01516041853839522,-0.0030437701727559032,-0.006746769655321996,-0.0017348737899606033,-0.005498805264626781,-0.004192965156745179,-0.009716506106345755,-0.003930619265792828,-0.103985799125797,0.0,-0.00440516396897428,-0.006353824680225623,-0.000849219609036432,-0.0028533532665152347,-0.003930619265792828
HX220,-0.003928932348431011,-0.003995138325833703,-0.0039212497404090205,-0.004167593240240635,-0.003917244411467124,-0.003936637015946879,-0.003924739041034412,-0.0039437567384773475,-0.003930619265792828,-0.0036385174022024783,-0.00440516396897428,0.0,-0.003923386244304203,-0.0038453322554500933,-0.003980671322530725,-0.003930619265792828
T_E220,-0.003921641117128523,-0.003698526465129373,-0.004360472627329481,-0.0036484253552891677,-0.004001895189921156,-0.003926015827096242,-0.004165639239312773,-0.0039025302008695254,-0.003930619265792828,-0.004508605153032755,-0.006353824680225623,-0.003923386244304203,0.0,-0.0040845275915365915,-0.00391528583731287,-0.003930619265792828
Rr_D200,-0.004000918027210376,-0.003599977465887492,-0.0035454076085298654,-0.0038038158246675884,-0.003941265431772309,-0.00355480839425781,-0.004542808102650807,-0.00396231895129399,-0.003930619265792828,0.00740518266271145,-0.000849219609036432,-0.0038453322554500933,-0.0040845275915365915,0.0,-0.003899349546682977,-0.003930619265792828
Pc_D200,-0.003936775460684699,-0.00542778558591678,-0.00337928174338208,-0.0038769510597303713,-0.003881293116297569,-0.003946838617192622,-0.003909834144120251,-0.0039016766905474345,-0.003930619265792828,0.003998447352776229,-0.0028533532665152347,-0.003980671322530725,-0.00391528583731287,-0.003899349546682977,0.0,-0.003930619265792828
F_S220.1,-0.003930619265792828,-0.003930619265792828,-0.003930619265792828,-0.003930619265792828,-0.003930619265792828,-0.003930619265792828,-0.003930619265792828,-0.003930619265792828,-0.003930619265792828,-0.003930619265792828,-0.003930619265792828,-0.003930619265792828,-0.003930619265792828,-0.003930619265792828,-0.003930619265792828,0.0
