Feature,Total_Effect (ST),First_Order (S1)
Pd_C103,0.003129245878038945,0.0032425107224902045
Pd_C301,0.06688057634620265,0.022754181750282175
HX100,0.06281431542138685,0.003804525505705774
T_E110,0.09356736571638212,0.027606004768263873
L_R100,0.011588710046162434,0.0016706364036800803
D_R100,0.008971406741076491,0.0012361148855772202
F_S220,0.01481136911928472,-0.0013404604849577778
T_E120,0.07785882006307716,0.016316467827615075
P_V100,1.1302581298120304e-05,-0.00014574963325604372
Pd_P150,0.9745626025896807,0.2476203675052271
HX150,0.6859919124315162,0.043722886765814366
HX220,0.00012241816450742,-0.0005429237213857823
T_E220,0.01396559767250186,0.0007110152253351645
Rr_D200,0.06137465732601642,-0.0007876020376832078
Pc_D200,0.00882304314882642,0.0017187193045599962
F_S220.1,1.3262550864462743e-05,0.00018162820358917715
