Feature,Total_Effect (ST),First_Order (S1)
Pd_C103,0.01315019111978998,0.0066808284982552875
Pd_C301,0.06334690262677824,0.007346520542055803
HX100,0.06592522187607334,-0.0028913686890598674
T_E110,0.10091904442096121,-0.007356031101080778
L_R100,0.015806560325687818,-0.0052643260926760645
D_R100,0.010494046519377973,0.01249647479319272
F_S220,0.032979519251192066,0.012522986686795646
T_E120,0.10227396434162123,0.01343934727853837
P_V100,4.1397941087439035e-07,2.374523742219587e-05
Pd_P150,1.0446632683601451,0.1625302884624369
HX150,0.6259561334619781,0.05424644666398485
HX220,0.00034479190408866195,-0.0003500797607272146
T_E220,0.014496588083575956,0.002971554946983304
Rr_D200,0.0511190038848657,0.005010498170293682
Pc_D200,0.018873842413723075,0.011256488366783272
F_S220.1,1.411574342995051e-06,2.3825596103790183e-05
